gene,mu_cancer,n_cancer,mu_normal,n_normal,delta,rank_delta_desc
TMEM101,-87.38601011388442,663,-267.5631126760537,663,180.1771025621693,84
MEIS3,-47.3799934387207,4,-227.19714736938477,4,179.81715393066406,85
NUDT22,-57.26907255504053,639,-234.94835205555708,639,177.67927950051654,86
PRPH,-90.41659545898438,2,-267.0458221435547,2,176.6292266845703,87
EBI3,-224.86180114746094,6,-399.96721903483075,6,175.1054178873698,88
NPB,-84.25525966443513,76,-258.84042759945515,76,174.58516793502002,89
PLEKHN1,-85.73209089981883,76,-260.07817860653523,76,174.3460877067164,90
KRT16,-93.75471678234283,105,-268.0050830659412,105,174.2503662835984,91
C1orf35,-113.67041423285185,670,-287.19185467620395,670,173.5214404433521,92
BEGAIN,-48.08971176147461,10,-220.26576080322266,10,172.17604904174806,93
IMP3,-160.6086865462781,962,-332.385629760996,962,171.77694321471787,94
BCKDK,-98.97451048956977,540,-269.48691782068323,540,170.51240733111348,95
ACAP3,-87.38187477805398,231,-257.36338944868606,231,169.98151467063207,96
WDR83,-81.55413229124886,224,-251.21557215281896,224,169.6614398615701,97
PPP1R1B,-85.43799659245694,884,-253.89704311595244,884,168.4590465234955,98
CD300A,-230.2246596392463,34,-398.2804547478171,34,168.05579510857078,99
USHBP1,-92.23390197753906,6,-259.80450948079425,6,167.5706075032552,100
BAHD1,-89.46602973771408,229,-255.58377435009552,229,166.11774461238144,101
MTA3,-71.68187086178305,366,-235.41113739847486,366,163.7292665366918,102
SLC22A18,-114.34908020704465,401,-277.8457980643484,401,163.49671785730374,103
FBXO44,-48.698293647766114,200,-211.79409103393556,200,163.09579738616944,104
S100A16,-66.5548158036228,1205,-229.08604585639668,1205,162.53123005277388,105
TUBGCP5,-166.06229416529337,96,-328.581218401591,96,162.51892423629764,106
PTGER1,-73.90555944675353,41,-236.41434013552782,41,162.5087806887743,107
KCNJ12,-68.21467018127441,4,-230.4861068725586,4,162.27143669128418,108
GJC2,-91.68996005588107,9,-253.83353000217014,9,162.14356994628906,109
SHC2,-63.49933158026801,144,-225.5261936187744,144,162.0268620385064,110
SPNS2,-43.82974760872977,168,-205.0400466010684,168,161.21029899233864,111
ASPHD1,-50.11412165715144,247,-210.02799919838847,247,159.913877541237,112
SEZ6L2,-69.2780440909866,693,-229.19094414869255,693,159.91290005770594,113
HES5,-90.07842508951823,3,-249.6216786702474,3,159.54325358072919,114
FGF11,-101.77494366963704,48,-260.1708148320516,48,158.39587116241455,115
TRPT1,-80.96112881262326,515,-239.2198794466778,515,158.25875063405454,116
HPN,-66.22271924087967,552,-224.13071190101513,552,157.90799266013545,117
TTYH1,-141.6990439675071,33,-299.37439704663825,33,157.67535307913116,118
MUC5AC,-128.3957336780637,43,-285.32971475290697,43,156.93398107484327,119
SRCIN1,-56.809799951451424,131,-213.70984131325292,131,156.9000413618015,120
PLCB2,-60.70626081739153,56,-217.17151750837053,56,156.465256690979,121
DKKL1,-117.94888644748264,18,-274.37522379557294,18,156.4263373480903,122
CYP4F35P,-98.27628389994304,12,-253.55572001139322,12,155.2794361114502,123
LINC01219,-88.69292449951172,1,-243.2971954345703,1,154.6042709350586,124
SIPA1,-59.659155017727024,546,-213.40570672003778,546,153.74655170231077,125
SIRT7,-103.30556232799184,550,-255.0184566151012,550,151.71289428710935,126
GNB1,-90.74332906076891,983,-240.8876256001687,983,150.14429653939976,127
USB1,-104.78373037151734,317,-254.83577003840017,317,150.05203966688282,128
MAD2L2,-65.07825318562615,388,-214.81639114851805,388,149.7381379628919,129
HAGLR,-92.78744873633751,572,-241.75564025665497,572,148.96819152031748,130
DNASE1L2,-151.3180934361049,7,-300.0191345214844,7,148.70104108537947,131
NXPH3,-61.4355354309082,5,-210.0548553466797,5,148.61931991577148,132
GDPD3,-83.00199526832218,63,-231.1023668561663,63,148.1003715878441,133
CD248,-112.92595863342285,4,-260.5987014770508,4,147.67274284362793,134
PLPP2,-48.05889697838883,905,-195.62862961911364,905,147.5697326407248,135
SNX32,-155.5136515299479,3,-302.8203430175781,3,147.30669148763022,136
P2RX1,-96.07228469848633,4,-242.49734115600586,4,146.42505645751953,137
LTB4R,-123.57622849313836,95,-269.98356692665504,95,146.40733843351668,138
USF2,-98.69652923335875,615,-244.9283230417143,615,146.23179380835555,139
AMN,-89.94143022401502,267,-235.5251080230827,267,145.5836777990677,140
FKBP10,-80.96371982281025,130,-226.32241715651293,130,145.35869733370268,141
KLF16,-92.89461854127076,222,-238.1910910391593,222,145.29647249788854,142
TNNT1,-79.04916770158414,167,-224.19538166708574,167,145.1462139655016,143
CAMK2N1,-71.81210903894333,168,-216.21104794456846,168,144.39893890562513,144
TMC6,-59.047052066008014,667,-203.02466929834642,667,143.97761723233842,145
PDZK1IP1,-88.22705001118027,1070,-232.0620306567611,1070,143.83498064558083,146
MARVELD3,-111.71815112078632,270,-255.37046548348886,270,143.65231436270255,147
FUT1,-108.22796880548651,55,-250.9593516956676,55,142.7313828901811,148
RPL22,-70.88234481248469,2168,-213.37199748134262,2168,142.48965266885793,149
