gene,mu_cancer,n_cancer,mu_normal,n_normal,delta,rank_delta_desc
NUP62,-61.58885036498386,383,-106.921778228202,383,45.33292786321814,1160
PGP,-72.23528458571596,443,-117.54990965625771,443,45.31462507054175,1161
NT5C1A,-93.91537857055664,2,-139.21826171875,2,45.30288314819336,1162
SH3PXD2A,-102.29737531221829,494,-147.58582614790572,494,45.28845083568743,1163
RNF19B,-50.72798634096573,366,-95.91984485146777,366,45.191858510502044,1164
DUOXA2,-113.84083557128906,1,-159.0044708251953,1,45.16363525390625,1165
YY1AP1,-40.259747419900044,492,-85.40114689648637,492,45.14139947658632,1166
PEX16,-65.75750277768508,417,-110.89375242969686,417,45.136249652011784,1167
TTC9B,-74.99433135986328,4,-120.0519962310791,4,45.05766487121582,1168
COMTD1,-39.039582360239706,478,-84.09608839346275,478,45.056506033223044,1169
ZNF593,-73.75486999687276,1043,-118.7805874130527,1043,45.025717416179944,1170
STEAP3,-78.06306811656536,321,-123.05301290731936,321,44.989944790753995,1171
RPH3AL,-93.23973791403849,305,-138.2232629494589,305,44.98352503542041,1172
MAST1,-90.82936176500823,19,-135.77487664473685,19,44.94551487972862,1173
TAGLN2,-71.00392720005526,1921,-115.88812232029929,1921,44.88419512024403,1174
SAMD1,-88.37515496091301,299,-133.258350410589,299,44.883195449675995,1175
TMEM177,-75.36484842202098,97,-120.24191685312802,97,44.877068431107034,1176
CLK3,-105.90779687533262,367,-150.74236919184796,367,44.834572316515334,1177
GALP,-115.19763946533205,1,-160.0214385986328,1,44.82379913330077,1178
ATP2A1-AS1,-71.99576395208186,22,-116.79639608209783,22,44.80063213001597,1179
SVIL,-54.511824211413554,599,-99.30041435127067,599,44.78859013985712,1180
ADAM15,-81.31884057955308,704,-126.0352105660872,704,44.71636998653412,1181
ATPAF2,-104.1654028748021,264,-148.85252836978796,264,44.687125494985864,1182
KDM2A,-86.56459228698914,666,-131.17435738274284,666,44.6097650957537,1183
SYNPO2L,-111.45117950439453,8,-156.0464038848877,8,44.595224380493164,1184
CCDC82,-187.09555775351674,351,-231.65876674380397,351,44.56320899028722,1185
SMARCA4,-43.153681070268945,908,-87.70235989272332,908,44.54867882245438,1186
TSSC4,-74.7957166935057,594,-119.34134830770267,594,44.54563161419698,1187
LINC00200,-95.86054229736328,1,-140.3886260986328,1,44.52808380126953,1188
ZDHHC18,-70.80567698759191,255,-115.2804297952091,255,44.47475280761719,1189
PACS1,-79.5316811289106,224,-123.9656537941524,224,44.4339726652418,1190
PRTN3,-149.80557250976562,4,-194.13737869262695,4,44.33180618286133,1191
UPF1,-48.136909319962825,347,-92.46738622923749,347,44.330476909274665,1192
PPP1R1A,-79.63457606388972,13,-123.92083329420824,13,44.28625723031851,1193
SOX9,-111.12903532324648,341,-155.4014727908495,341,44.27243746760303,1194
NR1H3,-102.56782891817183,214,-146.7518063839351,214,44.18397746576328,1195
DLG4,-80.06625242011492,43,-124.2141235706418,43,44.14787115052688,1196
UNC5B-AS1,-102.90126726704258,93,-147.01094334099884,93,44.10967607395625,1197
SF3B2,-73.5635551557149,1095,-117.56537102128817,1095,44.00181586557328,1198
ELAVL1,-38.63496809047873,679,-82.58649519862763,679,43.9515271081489,1199
IGSF8,-107.25082109909289,329,-151.128370198073,329,43.8775490989801,1200
CHML,-88.43497637636173,161,-132.28178524230577,161,43.84680886594404,1201
DPEP3,-63.06656646728516,1,-106.88288879394533,1,43.81632232666016,1202
FEM1A,-55.00082500164326,312,-98.78657798278026,312,43.785752981137,1203
IFITM2,-50.8784498188915,1626,-94.64872115769802,1626,43.77027133880652,1204
SKOR1,-101.4271011352539,2,-145.19432830810547,2,43.76722717285156,1205
MRM1,-92.8854546418061,74,-136.51391498462573,74,43.62846034281962,1206
LRRC47,-59.631134099299366,404,-103.24195089434633,404,43.610816795046965,1207
TMEM201,-56.48077493784379,49,-100.06597620127152,49,43.585201263427734,1208
CCNF,-82.03861503601074,40,-125.58977184295654,40,43.5511568069458,1209
ADCY7,-96.57737040894193,191,-140.04446315266074,191,43.46709274371881,1210
SNRNP25,-52.644592615691096,704,-96.07395381277257,704,43.42936119708148,1211
KIF2C,-56.57214101155599,9,-99.99183315700955,9,43.41969214545356,1212
SECTM1,-70.00259153721696,118,-113.40769745131671,118,43.40510591409975,1213
CUEDC1,-65.7103219346824,379,-109.09709469435397,379,43.38677275967157,1214
MBD3,-53.431809814066824,395,-96.81737002602107,395,43.38556021195424,1215
KIAA2013,-58.89231027875628,490,-102.27609385276327,490,43.38378357400699,1216
TCF3,-47.74340943632455,232,-91.12460603385136,232,43.38119659752682,1217
NARF,-69.52399555235418,786,-112.85384328128727,786,43.32984772893309,1218
CDKN1C,-76.75413156773922,274,-120.05267523327014,274,43.298543665530914,1219
DYNLL2,-76.35895810102552,772,-119.64278727121304,772,43.283829170187516,1220
FAM25A,-106.92403411865234,2,-150.17867279052734,2,43.254638671875,1221
MLXIP,-53.97948013875902,776,-97.22648550800442,776,43.24700536924539,1222
HOXB-AS1,-101.70771932601929,32,-144.91537475585938,32,43.20765542984009,1223
FUCA1,-55.0492065768329,766,-98.22103485426143,766,43.17182827742853,1224
DPH1,-60.39891242980957,4,-103.53694343566895,4,43.138031005859375,1225
CCNL2,-89.49167200958212,761,-132.62855064602624,761,43.13687863644412,1226
NIPA1,-114.82468881741376,142,-157.94801169382015,142,43.12332287640639,1227
TALDO1,-61.33844028868261,1428,-104.45830415143352,1428,43.11986386275091,1228
NOL3,-80.82562603185207,648,-123.92909975405092,648,43.103473722198856,1229
CDR2L,-47.731414445689026,142,-90.82209670375771,142,43.09068225806868,1230
TRIP10,-72.50704514163041,423,-115.57984412082826,423,43.07279897919784,1231
ERO1A,-43.884326497836746,646,-86.92356535967659,646,43.03923886183984,1232
NXN,-76.14452285547995,349,-119.16890987625779,349,43.02438702077784,1233
RAB39A,-47.636375427246094,1,-90.64997100830078,1,43.01359558105469,1234
COA3,-53.103118027717834,1550,-96.10401594592679,1550,43.000897918208956,1235
ANKRD40,-61.22590253641317,364,-104.20249926388918,364,42.97659672747601,1236
MSH2,-37.55080601126848,167,-80.49820732071014,167,42.94740130944166,1237
PIGS,-73.6175859088796,563,-116.55154084227648,563,42.933954933396876,1238
S100A5,-117.40271139144897,16,-160.29740715026855,16,42.89469575881958,1239
DDOST,-54.961261597374055,879,-97.83987957951152,879,42.87861798213746,1240
NUSAP1,-79.60843322097614,93,-122.45386144166352,93,42.84542822068738,1241
CLNS1A,-58.861767952430974,852,-101.66810125252451,852,42.806333300093534,1242
MZT2B,-42.93354205983086,1681,-85.67889471922085,1681,42.74535265938999,1243
NIFK,-46.17807969890657,488,-88.91447791115182,488,42.73639821224525,1244
SIRT6,-54.39709346062314,226,-97.11890728705752,226,42.721813826434385,1245
CLDN6,-65.00380886302275,51,-107.7094997331208,51,42.70569087009804,1246
NUDT14,-86.89024343685227,1225,-129.55354332748723,1225,42.66329989063496,1247
GPR68,-80.42698544093541,140,-123.08976827348981,140,42.6627828325544,1248
COG8,-82.47561343965076,210,-125.12346423921132,210,42.64785079956056,1249
RHOC,-62.06200823517792,1129,-104.61977382420015,1129,42.55776558902223,1250
CAPN5,-83.84632526744495,143,-126.36366624098558,143,42.51734097354063,1251
ANKRD65,-89.4092175868416,647,-131.92035889662398,647,42.511141309782374,1252
HOXD4,-100.41227912902832,12,-142.91616694132486,12,42.50388781229654,1253
SEMA6C,-90.687064501704,49,-133.1724672901387,49,42.48540278843471,1254
TRIM58,-86.34697977701823,12,-128.79331970214844,12,42.446339925130204,1255
PDF,-66.03258514404297,1,-108.46719360351562,1,42.434608459472656,1256
FALEC,-43.01837005615234,15,-85.4345937093099,15,42.41622365315755,1257
P4HB,-37.96045498365766,1780,-80.37033188637723,1780,42.40987690271957,1258
PLPPR3,-72.11088950417259,55,-114.47651450417258,55,42.365624999999994,1259
PEX11B,-70.12577986647715,343,-112.44931457341586,343,42.323534706938716,1260
FN3K,-65.63944374887566,152,-107.87731266021729,152,42.23786891134162,1261
ERF,-69.68385276906301,341,-111.91720310334236,341,42.23335033427935,1262
CNOT11,-65.95130369113862,447,-108.08430187387488,447,42.13299818273626,1263
SV2A,-99.51755981445312,30,-141.6478495279948,30,42.13028971354167,1264
SEMA4G,-75.32421150854078,59,-117.44900991148867,59,42.12479840294789,1265
INSC,-122.27545420328777,3,-164.3914794921875,3,42.116025288899735,1266
ADCY4,-89.4743503223766,22,-131.58986039595172,22,42.11551007357512,1267
PTPMT1,-79.72179793800855,747,-121.81058102854125,747,42.0887830905327,1268
ITGA3,-48.4819526898085,1014,-90.5655211123254,1014,42.0835684225169,1269
BNC1,-80.03492736816406,1,-122.08450317382812,1,42.04957580566406,1270
ORAI1,-57.33229607077206,425,-99.36904226864085,425,42.036746197868794,1271
SHKBP1,-66.05213134491925,446,-108.08052606967533,446,42.02839472475608,1272
TRAPPC5,-100.62423974496348,54,-142.60209768789787,54,41.97785794293439,1273
PPM1G,-37.334065596797785,891,-79.28951645325597,891,41.955450856458185,1274
UBA2,-63.77337198472561,665,-105.70425589425223,665,41.93088390952662,1275
SMIM7,-77.29019033574181,1033,-119.15809175651971,1033,41.8679014207779,1276
ECHS1,-62.89744825148761,1201,-104.75705280033972,1201,41.85960454885211,1277
TINAGL1,-99.94922944611194,204,-141.7675973480823,204,41.81836790197035,1278
NGFR,-71.02608489990234,2,-112.83967590332031,2,41.81359100341797,1279
MAP2K2,-42.59585894890202,824,-84.40867546229687,824,41.81281651339485,1280
TEX2,-52.676389573749745,190,-94.45552058972811,190,41.779131015978365,1281
GALR2,-63.81062845083383,13,-105.4029059776893,13,41.59227752685547,1282
KCNK13,-89.57253074645996,4,-131.15729904174805,4,41.584768295288086,1283
UBE2O,-66.85455444484082,206,-108.43044910616088,206,41.57589466132006,1284
OLFM2,-62.48877668380737,72,-104.05050574408637,72,41.56172906027899,1285
KRTAP5-9,-108.5007095336914,3,-150.04021708170572,3,41.53950754801431,1286
LGALS7B,-71.90860096613567,48,-113.42443323135376,48,41.515832265218094,1287
TRIAP1,-48.78090419401704,467,-90.27540068861249,467,41.49449649459545,1288
NOC4L,-101.48177474584335,234,-142.96053568522134,234,41.47876093937799,1289
LLGL1,-61.82131290435791,44,-103.25656093250622,44,41.43524802814831,1290
CORO1C,-65.59853730801336,334,-106.9284552157282,334,41.329917907714844,1291
SYNGR3,-70.85971959431966,6,-112.10499954223633,6,41.24527994791667,1292
BCL2L10,-147.54442977905273,4,-188.7503776550293,4,41.20594787597656,1293
DPCD,-69.4112673751707,615,-110.54230385136798,615,41.13103647619728,1294
SRD5A2,-118.65940343683417,55,-159.7846094304865,55,41.125205993652344,1295
SOCS1,-65.74323395928975,291,-106.86264239963387,291,41.11940844034412,1296
TEFM,-70.17118214451989,129,-111.27211122734602,129,41.10092908282613,1297
FMNL1,-69.44218603357092,154,-110.53262532221807,154,41.09043928864715,1298
RFXANK,-44.21625490704395,869,-85.29054788780432,869,41.074292980760376,1299
HOMER3,-66.67041617631912,256,-107.68622896075249,256,41.015812784433365,1300
ZGLP1,-83.92164829799107,28,-124.85826873779297,28,40.9366204398019,1301
PUS1,-70.10407517076204,179,-111.03896186871236,179,40.93488669795032,1302
ZNF598,-55.48876982097384,237,-96.353633896711,237,40.86486407573716,1303
CPNE8,-106.21761880739771,198,-147.05742344711766,198,40.839804639719944,1304
ARMC5,-85.5508918762207,148,-126.23026724119444,148,40.67937536497374,1305
CEP95,-87.14589233398438,280,-127.78493535178048,280,40.6390430177961,1306
MALL,-105.52069732356654,1677,-146.11983373979763,1677,40.59913641623109,1307
LIG1,-96.50358150316322,138,-137.08292311516362,138,40.579341612000405,1308
PGPEP1,-46.76196852547782,350,-87.31015816824777,350,40.54818964276995,1309
ERRFI1,-79.68483339725083,1327,-120.20707500259411,1327,40.52224160534328,1310
SDK2,-72.13797403971354,15,-112.61234385172526,15,40.474369812011716,1311
GPR61,-148.44973754882812,1,-188.89773559570312,1,40.447998046875,1312
NPTX1,-61.177141189575195,4,-101.61168479919434,4,40.43454360961914,1313
CAMK2G,-59.79290624954158,466,-100.16510171849329,466,40.37219546895171,1314
SLC8B1,-94.00816218058269,174,-134.3601356594042,174,40.351973478821506,1315
GNG13,-105.82100677490234,1,-146.1663818359375,1,40.345375061035156,1316
NUP98,-35.018564251569074,349,-75.35416136908326,349,40.33559711751418,1317
C1QL2,-73.73297337123326,7,-114.04180254255023,7,40.30882917131697,1318
SFXN3,-79.89381338188751,303,-120.18216335183322,303,40.28834996994571,1319
CNNM3,-62.87794253865226,122,-103.13498106159147,122,40.25703852293921,1320
BDKRB2,-102.51866475651774,89,-142.7588547267271,89,40.24018997020936,1321
IGSF9B,-89.2897964477539,10,-129.52483367919922,10,40.23503723144532,1322
GMIP,-89.07437568487123,86,-129.15490163758744,86,40.080525952716215,1323
SAMD4B,-63.57895986284529,700,-103.60544190543038,700,40.026482042585094,1324
CSMD2,-97.68840662638347,12,-137.69929567972818,12,40.01088905334471,1325
ZBTB7A,-91.99664360924804,773,-131.98937388194332,773,39.99273027269528,1326
MFAP2,-67.5068792055731,73,-107.48553372735847,73,39.97865452178537,1327
COASY,-58.838378116747855,517,-98.77735359295194,517,39.938975476204085,1328
PHRF1,-100.73366961811864,215,-140.6699249267578,215,39.93625530863916,1329
EPN1,-94.46707824950522,752,-134.39632344753184,752,39.92924519802662,1330
NOS1AP,-85.53287895576103,143,-125.44273344453399,143,39.90985448877295,1331
PLEK2,-65.51763408440203,121,-105.41756451819553,121,39.8999304337935,1332
MPZL1,-75.12292540373626,675,-115.0130546061198,675,39.890129202383534,1333
ZMYND15,-75.25097070421491,56,-115.11212171827044,56,39.86115101405554,1334
U2AF2,-105.62641326773601,467,-145.47920298933727,467,39.852789721601255,1335
S100A6,-80.22060423223759,2162,-120.04599354026716,2162,39.82538930802957,1336
HOXD1,-74.74326749341242,580,-114.52657921889733,580,39.78331172548491,1337
ARL16,-74.59985512117797,632,-114.36136708078506,632,39.76151195960709,1338
ZNF207,-38.48923748404799,1149,-78.21719922762108,1149,39.72796174357309,1339
CIB2,-56.48325447809128,42,-96.19576826549712,42,39.71251378740584,1340
TBL3,-39.90083527765354,238,-79.53200742577305,238,39.631172148119504,1341
COX6B2,-42.96983400980631,6,-82.57922490437825,6,39.60939089457194,1342
VPS9D1,-120.20778455232319,114,-159.7643799363521,114,39.55659538402891,1343
LINC01123,-70.77356194390191,45,-110.31873423258463,45,39.54517228868272,1344
ZNF319,-73.46726709253647,68,-112.90265846252441,68,39.43539136998794,1345
KRT78,-101.17178049087525,80,-140.58364028930663,80,39.41185979843138,1346
POLR2D,-38.878395442639366,295,-78.24305769063659,295,39.364662247997224,1347
EVA1B,-73.38536303976308,276,-112.7068183456642,276,39.321455305901125,1348
ZNF555,-39.9344851175944,27,-79.25436966507523,27,39.31988454748083,1349
TMEM104,-50.75351097470238,126,-90.06863015795511,126,39.31511918325273,1350
NQO1,-53.244268465213025,558,-92.55630878735614,558,39.31204032214312,1351
ZNF385C,-62.134318571824295,26,-101.40267738929161,26,39.268358817467316,1352
ARID4B,-80.54187007235267,1021,-119.77678589255756,1021,39.23491582020489,1353
DLG5,-81.23715783013238,225,-120.42266727023654,225,39.18550944010417,1354
ZNF506,-88.03069859554893,190,-127.17933000263415,190,39.14863140708522,1355
NMT1,-104.89946283299739,609,-144.03489113793586,609,39.13542830493847,1356
KMT5B,-86.42835963602032,546,-125.54460954491472,546,39.1162499088944,1357
HHIPL1,-93.95955657958984,1,-133.01124572753906,1,39.05168914794922,1358
FNDC4,-86.07373046875,43,-125.0956039428711,43,39.021873474121094,1359
DDB1,-102.23380113225495,867,-141.20578156045565,867,38.971980428200695,1360
METTL5,-49.904513822283064,840,-88.85083962395078,840,38.94632580166771,1361
CCDC87,-79.96416091918945,2,-118.88174438476562,2,38.91758346557617,1362
AP2A2,-94.68344573974609,600,-133.58421820322673,600,38.900772463480635,1363
TACSTD2,-69.53780883158466,1839,-108.42756109771811,1839,38.889752266133456,1364
MRPL34,-57.48866940235031,967,-96.36829842505313,967,38.879629022702815,1365
CSRNP2,-40.942061211452014,242,-79.80638513486248,242,38.86432392341047,1366
TEX22,-81.96805518014091,14,-120.79709843226841,14,38.829043252127505,1367
TRABD2B,-103.77788798014323,6,-142.59739939371744,6,38.819511413574205,1368
S100A1,-104.22014441856972,13,-142.98172114445612,13,38.7615767258864,1369
ASCL5,-115.57166290283203,3,-154.33033752441406,3,38.75867462158203,1370
MSRB1,-62.93493412189361,467,-101.68215545392904,467,38.74722133203543,1371
STAT5A,-89.05200180498142,103,-127.77938531671913,103,38.72738351173771,1372
JMJD7,-75.10399627685547,1,-113.83009338378906,1,38.726097106933594,1373
PIP5K1A,-39.23323835507788,396,-77.93708082642218,396,38.703842471344295,1374
TMEM120B,-45.2423140628828,287,-83.94334584412259,287,38.70103178123979,1375
CHRNB4,-107.3953145345052,3,-146.07411193847656,3,38.67879740397136,1376
HLX-AS1,-105.78422164916992,4,-144.37502670288086,4,38.59080505371094,1377
TSPAN3,-90.82923423290252,1600,-129.37014226913453,1600,38.54090803623201,1378
KLHL21,-72.71592453422896,218,-111.22688548936756,218,38.5109609551386,1379
PAQR4,-109.21207849303288,134,-147.70243846836374,134,38.49035997533086,1380
CABP1,-49.47115707397461,1,-87.95613098144531,1,38.4849739074707,1381
LETMD1,-46.26029609608873,535,-84.73962894332743,535,38.4793328472387,1382
KLK6,-88.92432264848189,11,-127.39792563698508,11,38.47360298850319,1383
PRIMA1,-79.1290520562066,9,-117.51167127821181,9,38.382619222005204,1384
ZNF790-AS1,-69.82203918457031,25,-108.19612274169921,25,38.3740835571289,1385
ITGB4,-57.352501404876264,343,-95.69222072679169,343,38.339719321915425,1386
CERS6,-71.53161920880113,453,-109.84191081066005,453,38.31029160185892,1387
TMEM151A,-73.91895294189453,1,-112.13609313964844,1,38.217140197753906,1388
ST3GAL4,-60.350779633773,228,-98.55795756557532,228,38.20717793180232,1389
SHC1,-78.04608116493569,444,-116.24504276653668,444,38.198961601601,1390
TRAF4,-60.23722389499012,1071,-98.41375624855247,1071,38.17653235356235,1391
FAM72C,-109.76076126098631,2,-147.9211654663086,2,38.16040420532228,1392
PHLDA1,-78.0593617698564,434,-116.2168481360932,434,38.15748636623681,1393
ICMT,-49.35601562211493,476,-87.50258949023335,476,38.146573868118416,1394
CDH1,-40.7418062901302,1101,-78.86989847126058,1101,38.128092181130384,1395
SFTPD,-60.23229302815029,1400,-98.32062510899135,1400,38.08833208084106,1396
CBLC,-62.18853778181405,145,-100.26139063341864,145,38.072852851604594,1397
ADORA2B,-102.07273947674295,138,-140.1093693608823,138,38.03662988413936,1398
HPN-AS1,-106.76757049560547,2,-144.800537109375,2,38.03296661376953,1399
METRN,-66.1881000779581,629,-104.19948520872666,629,38.01138513076856,1400
MIXL1,-77.92796325683594,2,-115.92951583862305,2,38.00155258178711,1401
IGDCC3,-68.85712522618911,17,-106.81901729808135,17,37.96189207189224,1402
APOB,-102.71242141723633,2,-140.67181396484375,2,37.95939254760742,1403
NENF,-56.13331807659106,1491,-94.07337081264443,1491,37.94005273605337,1404
RBM14,-54.91725153838102,393,-92.82741189427655,393,37.910160355895535,1405
ENGASE,-66.9378322340687,161,-104.84055944407208,161,37.90272721000339,1406
NFKBID,-103.25900664419498,106,-141.1058739716152,106,37.84686732742023,1407
TMEM119,-114.51280721028645,3,-152.32022094726562,3,37.80741373697917,1408
NFE2,-101.92364802505031,66,-139.72476612437856,66,37.80111809932825,1409
TMEM69,-74.92188718467405,273,-112.72143015320047,273,37.799542968526424,1410
TCEA3,-49.825118286770405,1053,-87.5864903159291,1053,37.76137202915869,1411
RPRML,-64.61651611328125,3,-102.35064442952473,3,37.734128316243485,1412
PRSS22,-86.23506070788862,594,-123.9333338753543,594,37.69827316746567,1413
SDC1,-53.44302463933889,1422,-91.12136571484443,1422,37.67834107550554,1414
ZNHIT3,-63.943823385628434,734,-101.61932179713445,734,37.67549841150601,1415
VSTM4,-86.97549855709076,64,-124.63896751403809,64,37.66346895694733,1416
MRPL38,-43.589966505001755,39,-81.22574028602013,39,37.63577378101837,1417
LZTS2,-82.35108590932992,325,-119.94688713660607,325,37.59580122727614,1418
SNX27,-73.1016475913579,614,-110.69295080476941,614,37.59130321341151,1419
HCN4,-89.61100514729817,6,-127.18588256835938,6,37.5748774210612,1420
CCDC6,-85.0878972753486,639,-122.65888806314722,639,37.57099078779862,1421
CLMP,-79.49060264000526,26,-117.05809666560246,26,37.5674940255972,1422
BLVRB,-115.0920894565179,1655,-152.63413639126227,1655,37.54204693474438,1423
NPM3,-99.18484416270208,491,-136.7091189382518,491,37.52427477554973,1424
KCNQ1,-89.93077652214109,258,-127.45349635634311,258,37.52271983420202,1425
LIPT2,-135.2216017289595,55,-172.73803960626776,55,37.51643787730825,1426
TMCO3,-87.27064885938967,433,-124.72253238246292,433,37.45188352307325,1427
MAPK3,-55.27702298672561,441,-92.72442575052482,441,37.447402763799204,1428
LINC01139,-127.35173187255859,5,-164.76040649414062,5,37.40867462158204,1429
BCAT2,-46.443636426738664,561,-83.80601774817482,561,37.36238132143616,1430
SIKE1,-85.01169920996796,417,-122.33829265932957,417,37.32659344936161,1431
ADAMTS7,-87.5932632446289,5,-124.89055938720703,5,37.29729614257813,1432
ASRGL1,-61.60721281752226,569,-98.90433212575259,569,37.29711930823033,1433
LINGO4,-120.55285263061523,4,-157.8386573791504,4,37.285804748535156,1434
ATF1,-45.84686581915317,358,-83.10599745851655,358,37.25913163936338,1435
RBM14-RBM4,-54.53268337249756,4,-91.79001045227051,4,37.25732707977295,1436
ZNF296,-60.00143321724825,86,-97.16782689649006,86,37.16639367924181,1437
TRNP1,-60.88657455444336,90,-98.01105668809679,90,37.12448213365343,1438
HYPK,-102.14217517559345,65,-139.25292452298677,65,37.11074934739332,1439
FOXD3-AS1,-133.75622236224967,71,-170.86306504800285,71,37.10684268575318,1440
FASTKD1,-93.37453838726422,111,-130.4764343811585,111,37.101895993894274,1441
ZSWIM4,-55.65129138805248,270,-92.72236986513491,270,37.07107847708243,1442
ACD,-123.49736065810986,178,-160.54174084609815,178,37.044380187988295,1443
NME1,-41.551426792857235,937,-78.58239319433906,937,37.03096640148183,1444
LILRA2,-131.9148245418773,17,-168.85550285788145,17,36.94067831600415,1445
GATAD2A,-50.02393346782415,467,-86.9521004883074,467,36.928167020483244,1446
C15orf61,-49.404718536546184,541,-86.28259911951429,541,36.8778805829681,1447
PHGDH,-107.18207935451233,194,-143.99392778848863,194,36.81184843397631,1448
IGFALS,-84.47706402049346,34,-121.2865452485926,34,36.809481228099145,1449
HTRA2,-73.94398303364598,344,-110.7264842543491,344,36.782501220703125,1450
GLIS1,-88.10823059082031,2,-124.8333969116211,2,36.72516632080078,1451
EDC4,-89.13281059265137,4,-125.83632278442383,4,36.70351219177246,1452
RCC1,-48.37987711225237,350,-85.03113956996373,350,36.651262457711354,1453
GATAD2B,-36.029512653472835,469,-72.67670814823241,469,36.64719549475957,1454
AHCYL1,-77.6460268477499,1194,-114.27767091300619,1194,36.631644065256296,1455
NAGS,-66.35674478125385,127,-102.98455966739203,127,36.62781488613818,1456
SPAG9,-76.47095150576648,1067,-113.06828073574877,1067,36.59732922998229,1457
KIF22,-35.042239079036825,1022,-71.62592108142353,1022,36.5836820023867,1458
ROBO4,-123.27040536063058,7,-159.84566388811385,7,36.57525852748327,1459
NOB1,-87.39564154840285,465,-123.95965115126744,465,36.56400960286459,1460
MIR497HG,-139.2190607974404,19,-175.73192235043174,19,36.51286155299135,1461
ILF3,-52.85290084408609,993,-89.36390033733448,993,36.51099949324839,1462
KCNN1,-108.31417846679688,2,-144.8213119506836,2,36.50713348388672,1463
CAMK1D,-77.46457043418401,790,-113.96918208448193,790,36.50461165029792,1464
GLIS2,-59.99108229943042,212,-96.41803457152169,212,36.42695227209127,1465
SLC5A5,-71.52801513671875,22,-107.95060660622336,22,36.42259146950461,1466
CNIH4,-68.80584552910321,1364,-105.20967871142972,1364,36.40383318232651,1467
RHOG,-47.5339033724898,472,-83.93372867066981,472,36.399825298180005,1468
ITGB1BP1,-57.98279085270194,688,-94.37813291993253,688,36.39534206723059,1469
ZNF768,-73.44505507857711,351,-109.7810932170292,351,36.33603813845208,1470
NPRL3,-78.78027858617115,326,-115.10757198216724,326,36.327293395996094,1471
FRMD8,-56.338810316273864,284,-92.62694286292708,284,36.288132546653216,1472
QTRT1,-45.02905041963152,412,-81.28458661940492,412,36.2555361997734,1473
SETDB1,-52.353746648778255,187,-88.60903747069007,187,36.255290821911814,1474
LINC00900,-125.7810230255127,4,-162.0189666748047,4,36.23794364929199,1475
ZNF836,-59.12439665247182,61,-95.36208080854573,61,36.237684156073904,1476
HPCAL1,-79.40755215279331,1135,-115.57154294320665,1135,36.16399079041334,1477
CFAP46,-104.16832939664224,133,-140.32232872525552,133,36.15399932861328,1478
CMTM3,-84.31105323953831,235,-120.46360376236287,235,36.152550522824555,1479
TESK2,-55.120889516977165,39,-91.27282343155298,39,36.151933914575814,1480
TNFAIP1,-55.86161582991922,338,-91.98291119456997,338,36.12129536465075,1481
TMUB2,-37.537526732509576,412,-73.64538901986428,412,36.107862287354706,1482
TNS4,-105.74104935782296,28,-141.84494726998466,28,36.1038979121617,1483
LINC00942,-97.8522097269694,6,-133.95062510172525,6,36.098415374755845,1484
GNA13,-60.815845421865475,282,-96.8368131759319,282,36.02096775406642,1485
VANGL2,-92.77347894148393,44,-128.75375678322533,44,35.9802778417414,1486
SPRED2,-48.97540155727061,398,-84.90496176331486,398,35.92956020604425,1487
KIAA0319L,-99.51002057972129,769,-135.43568517637812,769,35.92566459665683,1488
CACNB3,-84.18847587516716,222,-120.09628502098289,222,35.90780914581573,1489
SPEM1,-121.77039337158205,1,-157.67279052734375,1,35.902397155761705,1490
NFKBIB,-71.07386505820534,440,-106.96898162148216,440,35.895116563276815,1491
FBRSL1,-66.21779188743004,208,-102.11280419276311,208,35.89501230533307,1492
ATAD3A,-56.914228962743,215,-92.78090429971384,215,35.866675336970836,1493
ACTN4,-53.29270404271483,1423,-89.14434355509927,1423,35.85163951238444,1494
CBX1,-58.46965668294778,562,-94.30240959629046,562,35.83275291334268,1495
ZNF513,-79.79015899427009,132,-115.52745362484094,132,35.73729463057086,1496
MIDN,-66.8026972084018,1393,-102.47136872258018,1393,35.668671514178385,1497
CSNK1G2,-53.20320978937922,370,-88.86856732755093,370,35.66535753817171,1498
FGF19,-82.76849320355583,17,-118.4022975248449,17,35.63380432128906,1499
SRP68,-47.50843447500715,553,-83.12998075295529,553,35.62154627794814,1500
CHD5,-73.71499633789062,1,-109.32794189453124,1,35.61294555664061,1501
WNT3,-112.15815044584728,63,-147.75938439747645,63,35.60123395162917,1502
AK4,-57.68250640364718,121,-93.24379723919324,121,35.56129083554606,1503
C19orf73,-92.99270248413086,36,-128.53068987528482,36,35.53798739115396,1504
IGFL1,-136.53644409179688,5,-172.06957092285157,5,35.53312683105469,1505
ARHGEF17,-92.86980990600586,250,-128.39075180053712,250,35.52094189453126,1506
C1QTNF4,-106.75475742505944,23,-142.2055836553159,23,35.45082623025647,1507
PDE1B,-79.71059972589666,11,-115.15840703790838,11,35.44780731201172,1508
ACVRL1,-102.80194653962788,38,-138.24330621016654,38,35.44135967053866,1509
WNT3A,-64.73382314046223,6,-100.16573842366536,6,35.431915283203125,1510
PLD2,-53.51841984799034,95,-88.91592053865132,95,35.39750069066098,1511
WTIP,-68.89840022219887,237,-104.29271437246588,237,35.39431415026701,1512
ADD2,-92.8781753540039,5,-128.21101989746094,5,35.33284454345704,1513
ZNF446,-101.20723304492515,149,-136.52378066914193,149,35.31654762421678,1514
TSPAN9,-55.498732109209556,273,-90.79788850777315,273,35.299156398563596,1515
