gene,count_cancer,count_normal,S(gene),count_total
VTCN1,32,16,-9.202000141,48
LINC01118,2,1,-9.205136617,3
HOXB4,12,2,-9.217254094,14
CDCA7,59,29,-9.236424273,88
MCMBP,205,157,-9.263153751,362
FNDC5,26,9,-9.291883632,35
ARHGAP5-AS1,45,32,-9.327742044,77
LINC01252,19,7,-9.346008301,26
SENP1,47,36,-9.466513209,83
UCK2,37,12,-9.588534764,49
SLFN12,58,21,-9.681976705,79
MPZL3,209,149,-9.728135072,358
SP3,273,200,-9.798989294,473
HMGA2,41,6,-9.880349017,47
CORO1A,127,93,-9.882929785,220
TEX30,95,65,-9.926788568,160
PMEL,11,7,-9.928462982,18
KDM4A-AS1,7,1,-9.9372015,8
STRA6,34,5,-9.944084559,39
JMJD1C-AS1,32,13,-9.969305929,45
JAK3,18,8,-9.981155689,26
ZNF793,38,26,-9.981325626,64
ZNF235,10,6,-9.983194351,16
ZNF571-AS1,2,1,-9.985923767,3
NAA30,103,68,-9.990149738,171
UTP18,218,149,-10.00396911,367
ZNF527,23,16,-10.03404803,39
TRIM62,19,11,-10.08511302,30
FER1L5,6,4,-10.09709282,10
CUL4A,301,217,-10.1050751,518
SMCO4,354,240,-10.10843761,594
ASB13,46,31,-10.10978203,77
PMF1-BGLAP,4,3,-10.13114275,7
CTU1,86,36,-10.13474539,122
MEDAG,12,1,-10.25680953,13
ADGRE2,75,8,-10.42503522,83
TSPAN8,321,107,-10.46907493,428
DLST,199,152,-10.47510028,351
NME2,85,53,-10.49310485,138
FOXA3,40,21,-10.50055326,61
DSEL,80,55,-10.60273703,135
IFI16,390,201,-10.60790402,591
THAP8,72,42,-10.61561029,114
EIF2B2,166,119,-10.72811218,285
ANPEP,181,77,-10.77114587,258
SMC6,124,84,-10.77750804,208
CA5A,6,2,-10.80785751,8
ZNF614,29,13,-10.90822819,42
ALDH18A1,190,91,-10.93230715,281
ZFP69B,6,1,-10.97949982,7
BLZF1,145,109,-11.00536992,254
HLX,7,5,-11.04276721,12
P4HA3,10,7,-11.04850141,17
DNAJC12,125,51,-11.1043106,176
CDC42EP5,111,32,-11.15457991,143
TRIM5,137,102,-11.15749988,239
STK24,371,249,-11.171379,620
FBXO22,177,135,-11.20809729,312
B3GNT6,58,1,-11.23727753,59
ZNF253,27,20,-11.31839996,47
TMPRSS13,141,63,-11.32872193,204
TRIM46,21,6,-11.3599359,27
NUP107,153,97,-11.40750049,250
TSEN15,170,116,-11.45624438,286
HOXB2,31,15,-11.4914856,46
FANCA,75,45,-11.49187295,120
ZBTB8A,78,55,-11.54787491,133
SKAP1,32,20,-11.54856476,52
TNFRSF17,2,1,-11.56166585,3
PRRX1,33,1,-11.58982692,34
NDC1,82,41,-11.62042764,123
ZNF787,150,103,-11.65189245,253
BCO1,10,4,-11.65520913,14
NANOS3,26,5,-11.72314256,31
RAB35,150,108,-11.8924967,258
AOC3,12,9,-11.90884145,21
BLM,16,8,-11.91711712,24
CSRP2,60,35,-11.92715607,95
RAB26,14,5,-11.9579514,19
ABHD4,87,50,-11.97330302,137
TIMM9,424,301,-11.97982194,725
KANSL2,107,57,-11.9891911,164
PKP1,6,2,-11.993083,8
FRY-AS1,13,7,-12.12012901,20
SAAL1,76,42,-12.15379043,118
GSTM3,125,68,-12.15542879,193
TMEM135,74,56,-12.18133316,130
CEACAM16,4,1,-12.19421387,5
STIL,15,7,-12.21401596,22
RPS6KC1,72,52,-12.23216377,124
ZNF324B,18,8,-12.2495751,26
NELL1,41,4,-12.30053118,45
RHNO1,163,116,-12.33825224,279
TEP1,58,22,-12.39511719,80
STK39,263,50,-12.39644613,313
NCAPD2,53,40,-12.49234345,93
HYKK,42,26,-12.52454258,68
RGS7,6,1,-12.53380476,7
LRRC7,10,3,-12.54633097,13
ARTN,15,9,-12.5818847,24
IL21R,9,6,-12.60198873,15
RASGRP1,106,59,-12.62002836,165
IFIT1,182,65,-12.70597972,247
NOG,5,3,-12.71288586,8
CKAP2L,10,1,-12.74682132,11
RASSF4,157,84,-12.84557618,241
DEPDC7,2,1,-12.93013255,3
C14orf39,2,1,-12.97313436,3
AGT,65,6,-12.98891965,71
KRT36,10,3,-13.02130127,13
LINC00672,90,41,-13.04011908,131
ZSCAN29,85,56,-13.0466939,141
IMP4,353,268,-13.05262705,621
DISP1,28,18,-13.07975122,46
PEX12,36,24,-13.0856102,60
CCL13,15,3,-13.09371567,18
RPTOR,83,43,-13.09958291,126
NUCB1-AS1,2,1,-13.24895477,3
SCARB1,52,31,-13.25532421,83
LILRB5,10,4,-13.36905725,14
SPTLC2,242,153,-13.4638268,395
NPAT,127,88,-13.51087143,215
ASPM,15,2,-13.51205108,17
PIP5K1C,114,72,-13.51455664,186
GPSM2,102,32,-13.67827435,134
C12orf56,6,2,-13.69019985,8
PRR5L,39,27,-13.77630026,66
KCTD21-AS1,17,10,-13.77682764,27
MIR193BHG,12,3,-13.80698751,15
C1orf131,208,135,-13.86078626,343
ZNF607,23,11,-13.8794807,34
PGBD5,21,2,-13.89900174,23
CKMT1B,38,13,-13.91608818,51
LAMB3,443,315,-13.95305784,758
FAF1,222,168,-14.00276221,390
ERVK3-1,90,69,-14.08471944,159
PRKAB2,53,34,-14.12419646,87
FNBP1L,309,225,-14.14185612,534
RPS6KL1,32,16,-14.20603514,48
KRT23,67,13,-14.25181952,80
LINC00487,2,1,-14.33946991,3
MFSD2B,14,5,-14.35028919,19
OTUB2,20,11,-14.39679004,31
C2orf15,47,29,-14.4130502,76
CAMKK2,111,68,-14.42310325,179
PTHLH,6,2,-14.42546082,8
DHX40,261,185,-14.44489858,446
NEDD4,40,18,-14.45817263,58
ENTPD5,119,58,-14.47394142,177
LRIG2,74,53,-14.48750287,127
EPC2,128,93,-14.53238785,221
FUT4,33,15,-14.57113202,48
BTRC,73,49,-14.59127142,122
ZYG11A,9,1,-14.72627487,10
POLR3C,107,65,-14.73167606,172
PPP1R3C,16,9,-14.74019043,25
NCLN,234,176,-14.74653542,410
RECQL5,124,67,-14.82305133,191
ZDHHC6,242,142,-14.85429132,384
GADD45A,408,220,-14.97528388,628
ACY3,14,10,-15.05945619,24
BORA,20,14,-15.06125809,34
GPR137C,13,5,-15.08688566,18
RBM15,77,51,-15.08999282,128
GCNT3,98,13,-15.09294369,111
PSD4,180,123,-15.10485525,303
LINC00668,2,1,-15.10823059,3
GREM1,10,5,-15.26611125,15
ZNF101,32,14,-15.28137846,46
FAM24B,53,16,-15.43631203,69
SAP30BP,407,306,-15.44726169,713
MYOF,452,293,-15.45868399,745
CDRT4,4,2,-15.46630224,6
ALG6,82,44,-15.48120771,126
PLEKHJ1,444,337,-15.54906001,781
LENG8-AS1,6,4,-15.56509018,10
CKMT1A,38,14,-15.58966534,52
NID1,6,4,-15.59520187,10
GOLPH3L,275,191,-15.61293956,466
CEBPE,2,1,-15.61387634,3
PPME1,185,118,-15.71055789,303
SASS6,67,33,-15.71313339,100
BATF2,44,25,-15.71334817,69
LIN37,16,4,-15.72551193,20
FANCM,24,17,-15.74823054,41
ZNF695,5,1,-15.75618108,6
CEP55,13,4,-15.8112039,17
KCNC3,68,31,-15.84701592,99
TMEM150A,236,176,-15.8705574,412
DNAH14,131,67,-15.88783172,198
MSANTD4,98,53,-15.94966257,151
NRAS,208,136,-16.0658983,344
AATF,262,187,-16.07048223,449
TLK2,235,173,-16.08998274,408
ZNF28,87,61,-16.23535963,148
GOLT1B,205,134,-16.23707304,339
SEC23A,235,176,-16.34807399,411
LTBP1,85,12,-16.44366565,97
THY1,4,2,-16.47149404,6
ISL2,2,1,-16.4860611,3
LCLAT1,94,67,-16.54191589,161
ZNF670,36,16,-16.68766814,52
SCEL,272,74,-16.70129595,346
SDE2,173,111,-16.72241098,284
ZNF587,76,46,-16.75742503,122
BLNK,92,56,-16.78835395,148
DIAPH3,11,8,-16.79901364,19
USP3-AS1,12,6,-16.8234698,18
TMEM262,3,1,-16.82453537,4
WNT2B,32,17,-17.10890727,49
TSPAN2,28,8,-17.2131159,36
CXCR5,2,1,-17.22440592,3
VASH2,12,6,-17.25073708,18
KIAA1614-AS1,10,1,-17.268099,11
MED8,267,202,-17.29303526,469
LINC00941,2,1,-17.29636383,3
TNFRSF11A,24,14,-17.31965637,38
VAV1,44,21,-17.36222534,65
IL2RA,2,1,-17.36766307,3
PLEKHG3,84,52,-17.38790333,136
MYBPC3,3,1,-17.40038872,4
TGFB2-AS1,8,1,-17.40343984,9
TIGD3,9,4,-17.40377573,13
PGAP3,182,88,-17.46402616,270
EPSTI1,106,67,-17.60069875,173
MAP4K5,222,166,-17.6327471,388
VCL,309,213,-17.67271249,522
PDK1,68,44,-17.69056627,112
C14orf28,61,41,-17.80823147,102
IZUMO2,11,5,-17.83403969,16
SZT2,87,55,-17.90337974,142
EIF2B4,170,130,-17.9115683,300
UCN3,31,10,-17.9255412,41
ZNF124,41,27,-18.02014317,68
LINC01133,41,12,-18.07541527,53
MAPK7,59,40,-18.09820187,99
CTSG,6,3,-18.1054874,9
SHF,79,25,-18.24249715,104
L2HGDH,62,34,-18.24596071,96
PARP16,70,35,-18.37373192,105
LTBP4,214,146,-18.45841442,360
FXYD4,23,16,-18.56338599,39
BTBD8,16,8,-18.57593791,24
LILRB4,15,11,-18.60385014,26
LRRC8D,65,34,-18.60853407,99
SCNM1,256,128,-18.62009754,384
GAS5-AS1,4,2,-18.63427862,6
MFSD9,67,27,-18.67153476,94
TMEM222,231,168,-18.67437598,399
RASGRP3,56,42,-18.71130542,98
RBBP5,169,110,-18.76887157,279
ETV6,263,168,-18.79437059,431
PLOD1,186,112,-18.90336414,298
PPP2R1B,92,60,-18.95383172,152
STX4,316,241,-18.99764617,557
DUSP14,231,172,-19.07914304,403
SP5,30,14,-19.09773289,44
CRTC3-AS1,3,2,-19.09840851,5
CIART,59,34,-19.10451368,93
HABP2,96,8,-19.12943224,104
FOSL1,58,29,-19.13255766,87
DDX11-AS1,8,3,-19.196339,11
GALNT13,15,4,-19.26477573,19
PRR11,14,9,-19.30332549,23
RPPH1,94,54,-19.3571126,148
MFSD11,193,147,-19.42361587,340
E2F7,7,5,-19.45361773,12
ALKBH1,60,37,-19.52970422,97
TEKT5,18,2,-19.54774551,20
HEXIM2,98,58,-19.55095218,156
IL15RA,60,24,-19.55485816,84
TEX12,7,1,-19.59957886,8
TMEM39B,103,74,-19.69408693,177
CLEC2B,182,101,-19.74725256,283
SUPV3L1,82,56,-19.75257354,138
SLC9A2,6,3,-19.80275557,9
DNAJC9,194,106,-19.86600039,300
NBPF14,138,100,-19.9704652,238
KLHL23,168,43,-20.02673672,211
ZNF358,209,145,-20.08670283,354
LINC00862,3,1,-20.11774445,4
WDR3,70,52,-20.12899812,122
HIPK4,11,5,-20.21049738,16
KIF18B,6,1,-20.23045458,7
VIPAS39,94,46,-20.24692465,140
C19orf18,13,9,-20.40119206,22
RASL10B,10,3,-20.40874863,13
OTX1,21,11,-20.4597857,32
C1orf53,288,218,-20.51543347,506
INCENP,10,7,-20.54187191,17
LEPR,38,18,-20.56905883,56
C2CD4A,52,10,-20.60284571,62
ANKDD1A,16,11,-20.63505837,27
FAN1,56,43,-20.64291274,99
TYRO3,46,13,-20.70774919,59
CRX,8,3,-20.78493569,11
LINC00592,11,4,-20.80670064,15
BIRC3,264,191,-20.82313747,455
ZNF17,25,16,-20.82370237,41
ARHGEF25,6,2,-20.96957397,8
P3H3,28,19,-20.98975502,47
ZMYM1,41,27,-21.06730293,68
ZNF384,69,50,-21.0969966,119
HARBI1,31,17,-21.1504635,48
TDRD5,3,2,-21.27179565,5
RPL17-C18orf32,3,1,-21.27719402,4
GOLGA6L4,53,19,-21.29323154,72
EXOC3L1,21,10,-21.37021022,31
LDLRAD3,11,3,-21.38531331,14
GPR89B,54,35,-21.43795802,89
ZMYM6,63,47,-21.76631241,110
CLIP3,15,2,-21.79372496,17
PPP1R14D,46,2,-21.84321181,48
IGHMBP2,74,47,-21.90480584,121
LINC01119,4,3,-21.99620056,7
PNPT1,132,100,-22.02015826,232
LDAH,87,60,-22.02285502,147
ZNF597,43,22,-22.14291253,65
GRHL3,16,4,-22.23479862,20
HOXB6,19,12,-22.3194489,31
ZNF404,13,1,-22.32062857,14
ALDH1L2,5,1,-22.3973643,6
MKI67,25,16,-22.43135396,41
PARS2,16,12,-22.48975604,28
KIF20B,50,32,-22.50515617,82
MS4A1,12,3,-22.5795934,15
MAN2A2,85,61,-22.59710124,146
GLB1L2,105,74,-22.61102455,179
PHLDB1,124,73,-22.63841395,197
SKA1,8,1,-22.68159654,9
LSR,633,455,-22.71895805,1088
CHSY1,90,49,-22.72078008,139
OLFML3,97,5,-22.7356414,102
SLC16A1-AS1,7,2,-22.7865359,9
VAMP4,130,91,-22.79103722,221
RHCE,16,3,-22.904641,19
EGR4,34,2,-22.91897223,36
METTL2A,123,91,-22.98193948,214
GINS3,23,14,-23.06339181,37
LY9,5,1,-23.08538437,6
SCGB1D2,3,1,-23.18041992,4
LINC01460,7,1,-23.20829582,8
TBCE,83,59,-23.24966484,142
STAMBP,270,182,-23.25380124,452
VAV3,17,12,-23.26084334,29
EMP1,414,297,-23.45938183,711
PLEKHG4,78,43,-23.47001137,121
NEUROD2,7,2,-23.78717295,9
IGKV3-20,4,2,-23.8627739,6
PNO1,180,132,-23.96500627,312
STIM1,147,95,-23.97312508,242
RPUSD4,108,70,-23.97588828,178
SPRR2D,75,6,-23.99684426,81
NT5DC4,4,1,-24.11441956,5
AREL1,89,52,-24.17968609,141
HOXB3,28,1,-24.18675679,29
GREB1L,10,1,-24.39402632,11
IGKV1-39,8,1,-24.47199673,9
TERF2,108,81,-24.47863172,189
TNFAIP2,287,114,-24.50868743,401
ZNF485,16,8,-24.62606812,24
RNF34,139,106,-24.6803367,245
LRRC40,83,51,-24.72595112,134
GEN1,27,12,-24.78335043,39
C18orf54,8,2,-24.88530273,10
ZG16,2,1,-24.88649241,3
GRAP,4,1,-24.89777985,5
RERG,30,9,-24.95627222,39
PLCH2,28,17,-25.08145142,45
IDE,133,92,-25.09422479,225
METTL8,58,41,-25.14194203,99
PGBD2,56,15,-25.39022462,71
GLYATL1,2,1,-25.40103912,3
LYPD5,12,6,-25.41957241,18
ACBD6,281,216,-25.44603858,497
NOC3L,108,83,-25.46254501,191
CCNT2-AS1,9,4,-25.51019639,13
AVEN,53,21,-25.51972085,74
ADGRG1,188,115,-25.61783262,303
TRIM54,44,6,-25.63741791,50
CYP2R1,59,38,-25.65072341,97
SWT1,25,13,-25.68876266,38
CCDC34,188,129,-25.74173089,317
GLYATL2,16,2,-25.78226768,18
NPEPPS,497,298,-25.87638431,795
FAM117A,120,87,-25.87674227,207
RGS6,3,1,-25.90815163,4
DYSF,32,5,-25.98383826,37
MOV10,138,79,-26.04961103,217
PLA2G4E,22,7,-26.0561313,29
IGHV3-7,4,2,-26.07516861,6
SPOCD1,46,16,-26.14966768,62
DYRK2,139,77,-26.22945644,216
TMEM62,180,74,-26.25264061,254
DPP10-AS1,65,16,-26.3301499,81
GDF7,13,4,-26.43848688,17
SCN3B,3,1,-26.48403358,4
CD207,2,1,-26.62299347,3
STYX,171,79,-26.63443472,250
HTR3A,26,1,-26.71308955,27
KPNA2,218,100,-26.78639245,318
PARP2,89,65,-26.86249126,154
SPTB,61,6,-26.87154035,67
ZNF114,20,12,-26.9702425,32
RPUSD2,57,35,-27.06873545,92
BATF,147,59,-27.07942185,206
NGF,18,6,-27.2053992,24
EID3,78,51,-27.22577537,129
TRIM6,17,10,-27.2529441,27
MEX3B,22,13,-27.2598502,35
BRIP1,25,7,-27.38822007,32
IL1RL2,27,13,-27.49975739,40
ZNF737,15,10,-27.66131592,25
DLX2,8,3,-27.69050737,11
CHEK1,51,28,-27.69910276,79
CD177,8,2,-27.77022934,10
CCNY,364,257,-27.88467861,621
LINC00839,3,2,-27.90939178,5
AKR1C2,96,42,-27.93214444,138
TEX14,57,42,-27.94452937,99
ARHGAP11A,18,10,-28.10953849,28
LYPD1,59,1,-28.26822764,60
GLMN,34,26,-28.29769694,60
KIF14,8,3,-28.54026482,11
PAX8,32,10,-28.56000646,42
ZNF570,36,23,-28.56863959,59
FNTB,63,41,-28.57026416,104
COL17A1,87,3,-28.58119897,90
SBF2-AS1,92,26,-28.60106814,118
LCT,36,1,-28.62345,37
TOM1L1,318,203,-28.70756231,521
MAF,47,35,-28.72388514,82
YIF1B,232,146,-28.75696277,378
PPM1H,52,25,-28.76426558,77
NRIP3,27,15,-28.79844157,42
SLC35G1,62,20,-28.81114592,82
AMHR2,9,4,-28.85581677,13
INSL3,3,1,-28.91589546,4
EED,96,60,-28.93789648,156
PPFIA4,21,2,-29.42208995,23
SLC39A13,153,115,-29.44446473,268
MCM10,13,2,-29.52128474,15
THAP3,96,65,-29.68828417,161
STK11,223,161,-29.72651646,384
ANAPC7,140,104,-29.82661111,244
MECR,153,99,-29.82880698,252
PRH1,18,7,-29.84696198,25
PCTP,137,65,-29.98059048,202
DAPL1,73,41,-30.12889628,114
SPRTN,108,78,-30.18724905,186
PPIAL4G,6,1,-30.57129342,7
MRPL37,347,262,-30.60469531,609
SMG8,8,6,-30.62534332,14
CSF1,123,75,-30.65752342,198
FOXN3-AS1,34,19,-30.66285893,53
SCG5,84,5,-30.66552374,89
CDH8,7,3,-30.76305084,10
RAB30,39,17,-30.76726764,56
BDKRB1,8,4,-30.82664363,12
CR1,3,1,-30.89822197,4
DSC2,125,59,-30.97694314,184
FAM111B,26,5,-30.9919249,31
GPR161,50,17,-31.02000803,67
FAM104A,233,146,-31.13512799,379
CEP152,45,31,-31.16233806,76
MCOLN3,21,12,-31.3193564,33
QSER1,135,96,-31.46606708,231
ANO6,157,86,-31.48193521,243
SKA2,280,203,-31.61970412,483
RGMA,58,33,-31.62800158,91
CHRNA5,19,1,-31.96887894,20
METTL18,90,54,-31.99266391,144
TBX19,33,7,-32.01766586,40
FAM229A,67,29,-32.05480901,96
TMTC4,113,64,-32.20580417,177
KIF11,15,6,-32.23982075,21
TAS2R14,21,10,-32.32267121,31
RAB37,30,19,-32.3570225,49
NUP210L,5,3,-32.44660091,8
PPP2R5E,463,351,-32.51270243,814
ANKRD22,103,16,-32.66275666,119
PTPN14,169,90,-32.67027299,259
C1orf226,85,28,-32.78255064,113
TMEM106A,64,38,-32.78990383,102
DTL,23,10,-32.79291407,33
REP15,3,2,-32.98855591,5
ARHGAP19,46,25,-33.07925351,71
CTTNBP2NL,127,95,-33.12661496,222
TOX3,149,86,-33.14147631,235
ALDH3B2,34,21,-33.16684654,55
KLHDC8A,11,1,-33.17991575,12
LAMC2,201,127,-33.20642802,328
ZNF532,95,57,-33.24396063,152
ZNF780B,54,39,-33.32019322,93
KLF1,2,1,-33.37644704,3
GOLGA8Q,2,1,-33.56945292,3
PMM2,70,49,-33.62807372,119
PARPBP,13,6,-33.70581456,19
TENM4,14,8,-33.74475999,22
KDM4D,7,5,-33.76672872,12
ENTPD1-AS1,26,18,-33.813926,44
ZNF573,39,27,-33.88326159,66
ZSCAN20,6,1,-33.88754272,7
KCNK7,10,6,-33.90141773,16
LINC00540,2,1,-33.92737834,3
HEATR1,78,44,-33.95107473,122
LRIG3,184,124,-33.98018081,308
UTP4,132,98,-34.00099076,230
NUTM2D,4,3,-34.18297686,7
GCSAML,2,1,-34.26425425,3
PDGFD,41,7,-34.40879456,48
SACS,17,9,-34.4334485,26
ARHGAP42,105,48,-34.47999196,153
ZNF66,4,1,-34.624263,5
LRRC37A2,20,12,-34.69715536,32
RNASEL,60,34,-34.73636976,94
ZEB1-AS1,23,14,-34.83459493,37
PRKG1-AS1,2,1,-34.94098409,3
SPATA5L1,39,28,-34.94643026,67
SCRN3,83,61,-34.98034136,144
IKBIP,116,88,-35.02398044,204
FAM228A,12,2,-35.06404877,14
PYROXD2,98,62,-35.08242831,160
SH3BP5L,81,52,-35.18617429,133
HOXB-AS3,2,1,-35.26280212,3
FUT8-AS1,19,13,-35.46559954,32
DNAJC24,64,42,-35.71871869,106
LINC00920,6,1,-35.87163762,7
SAA1,136,72,-35.8984021,208
ANGEL1,52,33,-36.03105891,85
APOLD1,40,17,-36.0972029,57
RABIF,276,170,-36.18093744,446
PRPF39,61,45,-36.30444703,106
BTBD10,113,78,-36.40516996,191
NDC80,15,4,-36.44787879,19
MSH6,126,95,-36.6090748,221
LIN9,34,21,-36.68249366,55
CCNJ,34,19,-37.03960289,53
EHD3,15,1,-37.60690165,16
EIF3C,43,27,-37.96378381,70
RHBDL2,92,34,-38.02731923,126
SPRR2F,3,1,-38.1763401,4
ANAPC1,107,76,-38.17988436,183
SLC5A6,94,61,-38.45248548,155
KIF26B,31,10,-38.50976637,41
MASTL,60,39,-38.55115956,99
NDE1,94,57,-38.64050692,151
LINC01138,22,16,-38.65685734,38
SLC15A1,2,1,-38.71250153,3
LYPD6,5,2,-38.7883606,7
FBF1,62,38,-38.97188896,100
HMCN1,29,4,-38.97611722,33
ALOXE3,5,2,-39.36953408,7
TMEM266,2,1,-39.38822428,3
LUM,64,27,-39.45039686,91
NUF2,17,4,-39.65576971,21
MGAT5,156,97,-39.68912042,253
SVOP,2,1,-39.75617091,3
LINC00294,29,12,-39.76739055,41
STYK1,47,13,-40.04346212,60
UCHL5,228,136,-40.1903046,364
MMP2,22,10,-40.26628971,32
PROX1,46,6,-40.2871096,52
PAK6,140,99,-40.40251185,239
PKP2,41,28,-40.40502775,69
DDIAS,11,1,-40.47006989,12
ASAH2,16,9,-40.80652252,25
IL10,6,2,-40.83188915,8
SPATA45,2,1,-41.01906586,3
KANSL1-AS1,161,102,-41.09732531,263
PTAFR,65,31,-41.11816923,96
SLC35F3,16,9,-41.11835968,25
PRPF19,263,191,-41.34008507,454
SDS,10,4,-41.48807635,14
ZFP69,12,6,-41.55991787,18
PSEN2,107,80,-41.71132105,187
SUSD4,118,79,-41.81758919,197
MMP1,111,1,-42.00998374,112
C17orf67,22,8,-42.35084178,30
GORAB,81,45,-42.38939685,126
FOXD4L1,4,1,-42.63197632,5
PRC1,29,9,-42.69622943,38
UBE2T,111,49,-42.74998653,160
GLB1L3,46,2,-42.99047311,48
DTNA,27,10,-43.08745018,37
FUT6,31,9,-43.26571083,40
LRRC37A,6,2,-43.50653172,8
RAB3IL1,6,2,-43.57309341,8
MTPAP,112,74,-43.63512853,186
UQCRHL,87,65,-43.84760781,152
EXT2,138,94,-43.93711723,232
MAST2,65,42,-44.17588692,107
AGAP4,34,25,-44.3575433,59
ABCA4,68,6,-44.39411473,74
ZNF850,8,5,-44.56481405,13
FAM177B,3,1,-44.65307045,4
GAD1,37,3,-44.69546585,40
DHRS9,67,22,-44.70000269,89
DKK1,43,5,-44.88459078,48
ATG14,112,77,-44.98095869,189
RAD51AP1,19,8,-45.13811182,27
IGKV1-5,5,1,-45.24979909,6
APBA2,51,4,-45.31098452,55
CEACAM19,20,15,-45.5006049,35
SH2D2A,32,23,-45.57196357,55
PLK1,12,4,-45.68930054,16
FAM149B1,88,67,-45.70338012,155
PLA2G4A,57,19,-46.21282066,76
ARHGAP20,37,28,-46.27805082,65
SIGLEC10,3,2,-46.36413269,5
POLR1A,95,65,-46.64017625,160
CABYR,14,4,-46.6767735,18
SMAD3,258,175,-46.67842832,433
GALNT2,394,252,-46.72138949,646
PTRH2,154,77,-46.86073247,231
PTPRR,6,1,-47.00319563,7
HAL,17,7,-47.5173343,24
TRIM45,28,19,-47.67541017,47
LINC01191,6,3,-47.73178101,9
FCGR2B,14,7,-47.82550848,21
LRCH1,55,41,-47.85516771,96
ZEB1,17,3,-47.86502228,20
DTX4,275,99,-47.98046255,374
VWA2,26,16,-48.10762088,42
S100A12,5,3,-48.1089735,8
CDH7,2,1,-48.29397329,3
LINC01465,5,3,-48.31873703,8
IFIT2,95,62,-48.34635434,157
IL1RL1,12,7,-48.49328774,19
PLEKHG5,26,15,-48.60720862,41
TSACC,25,5,-48.6264651,30
GPC6,19,11,-49.12505824,30
C12orf50,3,1,-49.17570496,4
FCRLB,12,5,-49.19918778,17
NAT10,115,82,-49.23508744,197
ZNF503-AS1,32,12,-49.3888692,44
ABHD17C,291,152,-49.39538777,443
CACNA1A,26,4,-49.52672806,30
IGHV4-59,2,1,-49.68961843,3
HS6ST3,23,2,-50.00083221,25
SLC25A21,7,2,-50.04153951,9
GJD4,3,2,-50.31967621,5
ACBD5,157,118,-50.55932043,275
MIA2,6,3,-50.59114838,9
SLC3A1,2,1,-50.60894012,3
DGKA,28,17,-50.62421943,45
CENPF,31,23,-50.98347692,54
HYLS1,26,18,-51.2272762,44
TMEM63C,24,1,-51.48533539,25
CBLN3,8,4,-51.90403175,12
CDK1,50,28,-52.15375744,78
IGHV4-39,2,1,-52.21067301,3
C4BPB,71,25,-52.25210158,96
TMEM92-AS1,6,2,-52.30662441,8
LRP1B,3,2,-52.34054413,5
AGAP6,59,43,-52.58700494,102
ZNF546,27,14,-52.60835322,41
MYO3B,8,3,-52.7647934,11
MYBPC1,3,1,-53.0486412,4
CATSPER1,39,20,-53.50847716,59
LINC01483,6,2,-53.51132202,8
FHL2,155,28,-53.57626539,183
GOLGA6L9,52,37,-53.69956996,89
MILR1,84,39,-53.70908083,123
KIF18A,21,14,-54.20184108,35
RGPD5,24,18,-54.40419551,42
FAM66C,12,6,-54.43768141,18
SPRR3,5,2,-54.72934396,7
MMP7,321,233,-54.98962096,554
SYT1,37,1,-55.41271491,38
HEPN1,3,1,-55.53616905,4
FEZ2,436,309,-55.62279624,745
FNDC7,3,1,-55.73272133,4
CLEC2D,91,63,-55.99537718,154
OAS1,239,47,-56.00087914,286
IFIT3,167,105,-56.00379843,272
TNFRSF9,31,13,-56.34539413,44
IGHV3-23,5,1,-56.37716675,6
FFAR2,3,2,-56.45112762,5
SPC25,10,6,-56.53814125,16
SSTR1,4,1,-56.8927063,5
DHRS2,5,1,-56.93701553,6
SLAMF7,25,10,-57.01990226,35
WDR72,26,8,-57.03511362,34
STRIP1,116,76,-57.82256609,192
IFIH1,107,70,-58.04664836,177
LINC01588,34,23,-58.10078156,57
IL18R1,7,2,-58.6987381,9
MIR181A1HG,35,13,-58.73829508,48
EFCAB13,28,8,-58.74845484,36
SYT12,90,1,-59.03346546,91
TMEM81,8,5,-60.06154457,13
CCL4L2,175,130,-60.12767662,305
CHST4,3,1,-60.28518772,4
QPCT,75,13,-60.72699161,88
RASSF3,137,105,-61.03415447,242
C2CD4D,14,9,-61.12425049,23
ZNF583,22,16,-61.16866905,38
NEXN-AS1,13,7,-61.69234123,20
LINC00944,9,1,-61.76827316,10
DIO2,4,2,-62.08539581,6
NOTCH2,239,173,-62.81248982,412
TGFB2,92,44,-63.12239594,136
TMEM86A,25,5,-64.04554825,30
TAT,4,3,-64.06296757,7
LINC01001,79,48,-64.29252543,127
BCAR1,206,148,-64.38646481,354
LINC01559,3,1,-64.61498642,4
CTSK,49,34,-64.75983512,83
NOS1,3,1,-64.76601791,4
STON1,24,17,-64.99083989,41
SLC16A9,187,12,-65.21112693,199
TMEM100,28,5,-65.28539646,33
LMO7DN,31,21,-65.41707303,52
PRSS36,28,18,-65.87691357,46
CD22,8,3,-65.9944569,11
AKR1E2,6,1,-66.29067121,7
IPO4,87,64,-66.54978554,151
NALCN,3,2,-66.61774368,5
SAA4,15,6,-67.43424443,21
MEX3C,161,109,-67.81486701,270
CD163L1,35,5,-67.88177986,40
ITGBL1,4,1,-68.6218071,5
GPR183,95,57,-68.90885343,152
GFI1,3,2,-69.23181763,5
ANO3,3,2,-69.26070251,5
SPACA3,7,1,-69.57268906,8
NEB,8,1,-69.71190474,9
XDH,25,12,-69.86000205,37
SLFN12L,5,2,-70.18529402,7
DEPDC1,9,4,-70.39884802,13
DCTN1-AS1,2,1,-70.82788086,3
