gene,count_cancer,count_normal,delta,count_total
MYSM1,100,95,2.013485306959886,195
FN3KRP,156,144,1.9442633819580093,300
EBNA1BP2,409,423,1.935749072294982,832
CAPN2,673,698,1.8671325472129892,1371
MUL1,109,106,1.8297525450240784,215
PDIK1L,62,58,1.783575439453131,120
CDC123,283,261,1.777772174162024,544
MAPK8IP1,61,63,1.7739298420567735,124
HSPB11,419,456,1.7452670985630618,875
UBTD1,404,420,1.701831650965417,824
TOMM20,816,837,1.6622522334510137,1653
TATDN3,82,77,1.6603110451368366,159
KIF5C,1,1,1.6593971252441406,2
GLT8D2,9,9,1.588933308919266,18
COMMD4,348,359,1.5845330223504277,707
CCDC115,272,296,1.5529395694464014,568
BNIP2,257,248,1.5382236216327954,505
SNRPG,852,861,1.5313359587358093,1713
TIE1,4,4,1.4958477020263672,8
NSMCE1,349,353,1.487499258796717,702
PAN2,73,76,1.483682466033315,149
CLIC4,204,204,1.429363063737462,408
GAST,2,2,1.4122447967529157,4
BTBD1,104,113,1.412022814772655,217
LRRC37B,73,79,1.3172815473456154,152
ADAP2,36,37,1.2832418990461747,73
ZNF383,39,38,1.269925897771671,77
GRN,756,687,1.2308319102371286,1443
ETFA,327,336,1.2056864972927173,663
KDM8,7,7,1.1219324384416751,14
ZNF649,15,14,1.0509264715786628,29
ZNF274,102,110,0.7133204981965804,212
ZNF691,39,37,0.6371699885318094,76
TRAPPC4,380,351,0.6265148575100454,731
FMO5,272,283,0.5709458909593224,555
RFX5,130,119,0.5336243656265651,249
HEATR5A,112,105,0.5328850460491878,217
UQCRFS1,598,599,0.5296058495440974,1197
VPS13D,151,167,0.4921143249895578,318
FDXR,160,167,0.4791585939739917,327
ARL1,394,405,0.426613350535213,799
SMG1,294,288,0.3742750567668906,582
TRIM66,41,40,0.2261327107747348,81
ZNF638,302,330,0.1505173429658128,632
PPA1,847,896,0.0930543068969598,1743
SPNS1,215,202,0.0692435614496673,417
TUT1,66,62,0.0553624033927917,128
ACOT1,1,1,-0.0020790100097656,2
OSBP,200,187,-0.0080708939899665,387
TGFB1I1,108,107,-0.0918771433275793,215
LINC01569,30,27,-0.1891862969649409,57
C1orf115,41,37,-0.1914979983598783,78
PTPN20,16,17,-0.21234130859375,33
ARL6IP1,589,558,-0.2191285862544347,1147
DAD1,818,903,-0.2314278726173242,1721
HMGCL,216,213,-0.2451423520530653,429
DDIT3,362,373,-0.2810170387735269,735
OS9,492,506,-0.2832045469112074,998
MAEL,2,2,-0.3267345428466797,4
CD8A,20,22,-0.3365275065104214,42
MMADHC,439,484,-0.3628237756334442,923
DNHD1,37,35,-0.3876996570163271,72
COG7,145,134,-0.3986897895840329,279
PMVK,554,593,-0.4662201872262841,1147
THAP11,193,203,-0.4785702830613303,396
PHKB,298,293,-0.5570888357920865,591
NEK7,228,235,-0.5671258188993278,463
CDKN2C,53,48,-0.5944418576684427,101
YIPF4,380,377,-0.6997752019562284,757
LINC00324,19,21,-0.7627635955810632,40
TMEM147,743,763,-0.8273263705837479,1506
TFCP2,99,109,-0.8505633794344334,208
USP32,152,163,-0.9823775276305184,315
CAMSAP3,143,157,-1.0311345926920552,300
PTPN11,213,223,-1.0368030443104033,436
MIA3,224,213,-1.0748036818864364,437
BCAN,2,2,-1.094133377075195,4
SNRPD1,587,627,-1.1145696844261224,1214
NDUFA12,593,637,-1.1492166410616846,1230
CYB5R1,379,367,-1.16967755028773,746
SRP54,314,298,-1.1958368837443911,612
FAM20A,324,332,-1.2005163983600795,656
CLPP,426,418,-1.256744226573204,844
SEMA4F,41,43,-1.332246689569388,84
GXYLT1,115,118,-1.3637490661359095,233
ZNF84,93,90,-1.3775704805968303,183
HDGF,586,547,-1.4262486901413638,1133
PINK1,220,206,-1.5667260219233723,426
PRMT6,55,53,-1.5705328340883682,108
MRPL27,503,511,-1.6506527857432474,1014
AFG3L2,200,201,-1.650842433558438,401
BCKDHA,12,13,-1.6811285400390688,25
NOL9,109,103,-1.6846597419594789,212
C12orf4,57,60,-1.7337207631168212,117
CCNT1,157,157,-1.7603483382304006,314
MPHOSPH9,70,65,-1.77533122875073,135
ESRP2,140,149,-1.83944927862359,289
ZACN,1,1,-1.875102996826172,2
MDP1,51,49,-1.8770040130615229,100
STRN3,196,192,-2.0185976716661003,388
ARV1,249,245,-2.1126311143882788,494
RNPC3,125,126,-2.114542015045288,251
HEBP1,428,438,-2.1354424033924744,866
CHST10,42,42,-2.1983178456624373,84
SCAMP2,320,321,-2.2089617189118727,641
CRYZ,210,216,-2.2368589768387324,426
ATF7IP,173,173,-2.3200923610973945,346
CD55,860,860,-2.3343864219133224,1720
CLCC1,101,104,-2.3388437410680183,205
ZFP14,95,96,-2.3706230642907897,191
SFSWAP,202,209,-2.3859671525421504,411
PCBP1,809,896,-2.3896592707927624,1705
MRPL52,658,617,-2.4346777762618785,1275
CTDSPL2,122,116,-2.4803499173717256,238
C19orf84,1,1,-2.503456115722656,2
RAB5B,332,362,-2.517175218213879,694
RAD51C,157,149,-2.521813486136651,306
KDELR1,598,625,-2.5540779718880917,1223
SH3YL1,567,602,-2.581473801664245,1169
GLYR1,259,273,-2.5858159459623096,532
NIPAL3,207,197,-2.6693325798110195,404
BEND5,47,48,-2.6826373451634424,95
THUMPD2,119,114,-2.701761041076395,233
FAM219B,166,162,-2.730098003294408,328
SENCR,1,1,-2.83536148071289,2
NUFIP2,439,451,-2.91267325583469,890
C11orf54,242,260,-2.923475455477885,502
GCHFR,601,583,-3.012427916397918,1184
FUBP1,273,251,-3.1490817470404977,524
C1orf43,749,723,-3.1543054425198136,1472
LIN7C,180,167,-3.175391183462878,347
RAB10,475,435,-3.17659631247048,910
IPO5,252,232,-3.207377126394235,484
FECH,46,51,-3.222613855735545,97
NFE2L1,303,290,-3.320030932884791,593
TMEM247,9,9,-3.366260528564453,18
EIF3I,648,627,-3.4105264521580096,1275
ANP32E,308,337,-3.442517054358205,645
ANKRD10,332,306,-3.5048517567984305,638
HNRNPA3,756,792,-3.514699610628824,1548
C1orf210,252,277,-3.6831285300011416,529
CTDSP2,453,471,-3.686287760218505,924
SYT17,122,110,-3.726981870059312,232
FBXO17,24,26,-3.731124267578125,50
SCYL3,97,93,-3.828368939851458,190
ALDH3A2,340,370,-3.852428275094909,710
PITRM1,134,138,-3.92277167825138,272
MIB2,203,191,-3.9888860247461935,394
TSG101,431,428,-3.9981297769424486,859
IRF2BP1,102,97,-4.002630377534644,199
GCC2,492,488,-4.027315536810434,980
FRA10AC1,226,226,-4.060827373403356,452
SGMS1-AS1,38,39,-4.088767014540636,77
NFE2L2,609,624,-4.192033500083568,1233
GCFC2,93,101,-4.2923482521293295,194
ACP7,1,1,-4.300346374511719,2
METAP2,630,654,-4.31230264586452,1284
TAF15,365,334,-4.414685763685156,699
SART3,109,110,-4.4173821575565455,219
RNF10,365,358,-4.495451129158823,723
LPIN1,225,240,-4.510848391953331,465
AP4S1,75,75,-4.515696309407559,150
NAA60,227,211,-4.574189085938613,438
ALKBH6,112,118,-4.628290955916697,230
PITPNA-AS1,151,149,-4.684419593811036,300
S100A10,974,1081,-4.81442101842876,2055
ZNF552,85,85,-4.836907914105581,170
CNN3,601,605,-4.902035809670323,1206
UGGT2,78,85,-4.912197510888973,163
SNUPN,129,129,-4.92588031384372,258
MADD,104,96,-4.939903945922865,200
ADAM10,250,236,-4.984081660769121,486
PPP2R1A,513,502,-5.081530325753349,1015
CDK17,76,70,-5.091497290624332,146
OPA3,174,171,-5.14546236784561,345
MAPK1IP1L,427,412,-5.246072344046809,839
CYTH2,418,395,-5.319043777672277,813
TESC-AS1,1,1,-5.3862152099609375,2
DDX10,110,101,-5.4360385551271975,211
PPP1R8,166,153,-5.456864407817406,319
IMPA2,322,340,-5.532187677942375,662
NGDN,230,208,-5.558384028743937,438
TTC31,60,55,-5.594370369289223,115
KDM4A,141,137,-5.603251724792045,278
GCC2-AS1,2,2,-5.624177932739258,4
CRIP1,406,432,-5.653546699760639,838
PSMD8,697,703,-5.683351530347551,1400
POLR3GL,424,396,-5.732055403546582,820
CTRL,1,1,-5.734851837158203,2
IKZF5,89,98,-5.735316108254821,187
ZNF91,201,210,-5.758252461751297,411
NUDT19,125,118,-5.761795483498915,243
ARPC5,621,640,-5.82548103060256,1261
HSPBP1,254,279,-5.826764019076862,533
DUS2,39,43,-5.849188548762626,82
TMEM170A,211,208,-5.875794950134704,419
ZNF248,51,48,-5.970472008290912,99
RMND5A,161,152,-5.999100072696194,313
L3HYPDH,52,49,-6.024796287612162,101
ASB8,168,170,-6.048902252016688,338
RAG1,3,3,-6.080791473388672,6
GPRC5A,823,840,-6.128145489718492,1663
PITHD1,352,381,-6.1572747952616,733
AIDA,422,409,-6.186731951331396,831
PAQR7,74,70,-6.305228763156464,144
ERICH4,6,6,-6.314219792683929,12
AKAP1,385,386,-6.367071238318616,771
RHOU,162,151,-6.4352086953842615,313
PPP3CB,173,180,-6.458729233350027,353
WDR25,70,70,-6.490151814052041,140
CMTR2,136,135,-6.6069628163017455,271
TGOLN2,463,479,-6.707836693765756,942
NUDT5,482,442,-6.710043737898658,924
GTF3C1,129,134,-6.744607990685523,263
CAMTA2,80,73,-6.785906523660898,153
HADHB,346,358,-6.818254254081026,704
KIAA0586,68,70,-6.890979075777352,138
CUL5,281,274,-6.948720351210582,555
IPO8,105,95,-7.014010086059571,200
LSM14A,425,454,-7.284736277435968,879
C12orf76,231,249,-7.349249299367273,480
ADK,435,392,-7.392260836286439,827
YIF1A,595,550,-7.590560599914284,1145
PHB2,561,578,-7.645001127596373,1139
ZNF726,16,15,-7.683555603027344,31
HAX1,547,553,-7.693046458851199,1100
NUP37,115,110,-7.712191636827256,225
VAMP3,341,310,-7.738801150461128,651
SLC16A1,17,17,-7.746727214140051,34
ASH1L,452,456,-7.752079371313691,908
KRT2,1,1,-7.774871826171875,2
C1orf52,230,209,-7.781244021613404,439
LIPE,46,46,-7.842889288197384,92
RPRD2,242,219,-7.876465737431801,461
CLEC16A,101,103,-7.902257956710514,204
DPF1,3,3,-7.9785168965657505,6
SIK3,162,170,-7.992077080600239,332
YWHAQ,739,790,-8.000577808128142,1529
ARL6IP6,179,170,-8.03866028444132,349
TADA2A,58,58,-8.12487661427464,116
RNF111,107,114,-8.143675929280974,221
MSLN,342,333,-8.188247420699511,675
MRPS15,674,667,-8.216797074126617,1341
NFYC,201,193,-8.218234628590224,394
COL5A3,1,1,-8.273582458496094,2
MCRS1,190,177,-8.309219090100527,367
CLN6,149,135,-8.334012850909147,284
COMMD1,331,363,-8.438575431318043,694
CCDC73,2,2,-8.44051742553711,4
WNT5B,25,23,-8.539165576299041,48
SAR1A,470,504,-8.543935877586541,974
PHF11,194,211,-8.589039649492435,405
TIA1,266,256,-8.671902426357931,522
ETV2,45,42,-8.688233211122707,87
WAC,536,543,-8.7429107369042,1079
LIMA1,377,343,-8.771392822265625,720
MYDGF,688,739,-8.778389394074438,1427
FAM168B,213,218,-8.778856193383156,431
FRS2,103,98,-8.785414282955344,201
COPE,745,806,-8.891661790937562,1551
SNAPC1,181,169,-8.930670700073243,350
NVL,106,101,-9.065894822567556,207
VDAC2,691,724,-9.11091099391978,1415
ARID4A,325,337,-9.161952983936873,662
DEGS1,247,247,-9.207093458909256,494
AVPI1,270,287,-9.265374798320993,557
GDAP2,112,101,-9.314285636507847,213
LBH,198,198,-9.419328843704378,396
DCAF6,279,308,-9.433930457146031,587
COG3,155,141,-9.684118941023542,296
ANXA11,751,759,-9.699838991986198,1510
TSPAN14,303,306,-9.819725412453336,609
LGALS3BP,846,893,-9.8344669045903,1739
PEX14,116,109,-9.889002516004766,225
DENND2D,203,183,-9.93873133684069,386
LTA4H,636,631,-9.968857714766685,1267
MGAT4A,116,120,-9.994352340698242,236
AAMDC,317,336,-10.012151358868763,653
CHRNE,6,6,-10.118953069051116,12
PAN3,133,137,-10.168535727041744,270
LCMT1,299,273,-10.205729344508027,572
PSTPIP2,50,46,-10.240636507670075,96
C19orf67,1,1,-10.285846710205078,2
KRTCAP3,555,510,-10.311620470503684,1065
BCAR3,69,65,-10.32311419586638,134
CTDNEP1,398,399,-10.329014494547735,797
PNPLA2,393,385,-10.36231552359378,778
LACTB,133,134,-10.394287223673048,267
TIMM8B,627,624,-10.400346989254302,1251
ZNF578,3,3,-10.43682225545247,6
ACAD10,69,67,-10.49638706095078,136
VCPKMT,58,60,-10.618211778543769,118
ZNF470,11,10,-10.626293000720793,21
ZNF25,32,29,-10.678357608982765,61
HOOK1,229,209,-10.700308107349969,438
SLC30A4,9,10,-10.707564906070104,19
CYB561A3,174,163,-10.75277643175437,337
PRKAG1,193,209,-10.771252703310836,402
UBXN4,668,696,-10.77272440890762,1364
TMEM9,415,456,-10.85592802903956,871
CKS1B,434,397,-10.86345775893448,831
BIRC6,276,263,-10.88897981095181,539
ACTR10,379,368,-10.96199304256414,747
SIPA1L1,172,180,-11.028508446433335,352
ATAD2B,99,106,-11.029465075236992,205
NAP1L1,849,917,-11.115519112125796,1766
ACTR1B,309,283,-11.32843532433381,592
DOCK9,292,265,-11.356635061157874,557
TAOK2,160,152,-11.545087080735428,312
TC2N,405,436,-11.568453195687567,841
ASXL2,191,185,-11.585763302255188,376
GATC,130,130,-11.660317156865048,260
SPPL3,320,301,-11.690293144680652,621
DDI2,186,200,-11.769160018683706,386
PPP1CC,483,476,-11.816577835799023,959
ASB16-AS1,60,56,-11.884854645564644,116
RRAGC,239,241,-11.957160059611006,480
ZNF556,2,2,-12.121545791625977,4
NOLC1,281,282,-12.197634844331075,563
M6PR,356,363,-12.255641507505544,719
FLT3LG,33,31,-12.286424040794373,64
CLYBL,40,42,-12.28782718937572,82
DHX32,154,152,-12.363209219539854,306
ARIH1,518,494,-12.389944604263007,1012
SCYL2,226,231,-12.405625549917415,457
STK32C,68,64,-12.427462837912827,132
KLC1,251,252,-12.483854108017908,503
TRIM16,61,58,-12.484418788877846,119
ARFIP2,321,302,-12.540428761685831,623
AGTRAP,393,379,-12.562782781729432,772
UBE4A,190,178,-12.58811376405798,368
GABPB2,81,83,-12.62210406326666,164
ZNF543,10,11,-12.688741411481573,21
CTBS,217,225,-12.786618815288286,442
PCCA,91,91,-12.796729496547153,182
PHOSPHO2,74,75,-12.819694519042969,149
EIF5A,579,639,-12.877068596324705,1218
PFKM,81,84,-12.883163174715918,165
MLH3,125,118,-12.88982937659746,243
CHCHD1,533,526,-12.925323914986263,1059
EID2,129,123,-13.092796598161968,252
AKAP10,112,113,-13.153644951714398,225
OTUD7B,147,157,-13.23556686702527,304
ZNF507,89,83,-13.237276786981624,172
ZNF45,26,26,-13.368709564208984,52
C12orf43,112,107,-13.39466352767596,219
POMP,828,865,-13.421590013047757,1693
SOCS5,101,96,-13.499377991342314,197
ZBTB44,340,348,-13.522761699765226,688
ZNF791,198,188,-13.613553457309544,386
CHURC1,448,442,-13.62116902383525,890
ARAP1,206,196,-13.651845296223954,402
SIDT2,100,105,-13.658789732398048,205
ATPAF1,211,225,-13.727975302879967,436
CHD4,562,512,-13.72837563200369,1074
HIF1A,396,403,-13.728619820185386,799
ZNF530,10,9,-13.746468794973268,19
NEXN,35,35,-13.774736022949211,70
CATSPER2,66,62,-13.815520942211151,128
AKIRIN1,322,331,-13.850080861066786,653
C2orf42,28,29,-14.01945207830061,57
SVIP,566,554,-14.041267415455408,1120
DUSP11,136,131,-14.104074142398916,267
MBD5,85,92,-14.10789416469423,177
CLASP1,143,139,-14.129165351813562,282
RASSF8,121,125,-14.162287053053944,246
MEAF6,509,561,-14.186992752217805,1070
COG4,114,113,-14.194172308833586,227
ELAC2,82,91,-14.249148925604842,173
AKT1S1,223,204,-14.30735934255273,427
YLPM1,205,215,-14.307621637980148,420
MYO3A,5,5,-14.355448150634771,10
ZNF432,39,41,-14.39175472259521,80
TPP1,335,364,-14.44255787381458,699
ZNF302,152,158,-14.499275281352382,310
MYZAP,12,11,-14.512211343516483,23
VAMP8,953,1055,-14.601108368649427,2008
USP12,244,234,-14.672874817788356,478
STXBP3,160,158,-14.82077002375381,318
SLC35E3,135,131,-14.856253516405149,266
UXS1,341,377,-14.880432702704724,718
UBAC2-AS1,25,23,-14.89256715774536,48
STOML1,71,69,-14.9137307030814,140
SLC25A28,94,89,-14.958002100876769,183
SPATA13,143,136,-15.012376682732691,279
APLP2,940,1031,-15.022435426833,1971
KEAP1,235,236,-15.13175326952762,471
MRPL30,110,114,-15.19145258835384,224
PSMB5,657,642,-15.221432610233537,1299
TPT1-AS1,107,113,-15.39237542585893,220
CD209,1,1,-15.468177795410156,2
EFCAB14,448,496,-15.469473822642172,944
FAM110D,1,1,-15.48139190673828,2
USP28,95,89,-15.505603976871662,184
ITGB1,596,614,-15.563450761274863,1210
LAMTOR1,721,768,-15.58658844772964,1489
ARCN1,332,333,-15.616928995462288,665
PCGF1,129,128,-15.653024339490372,257
MRPL42,431,422,-15.6824185370281,853
ETHE1,310,339,-15.726967733703518,649
DCLRE1A,26,27,-15.733415135797458,53
WBP1L,182,173,-15.738445400184318,355
TTC17,313,308,-15.794700235560327,621
KITLG,222,239,-15.824550430066154,461
SOAT1,228,242,-15.88302998644241,470
PDIA3,740,812,-15.928458216264076,1552
CAP1,592,533,-15.959952762179904,1125
ACP1,639,644,-15.969448336380497,1283
CCDC93,106,98,-15.972854614257812,204
C15orf40,262,266,-15.989280613985926,528
RSL24D1,566,617,-16.05214800153459,1183
HOMER2,105,96,-16.062035404034518,201
GMFB,166,176,-16.105751729150967,342
ANKRD11,491,524,-16.113834369828552,1015
INTS2,79,79,-16.128168854532362,158
EPS15,270,258,-16.13936135263154,528
PBLD,51,47,-16.206225103261517,98
AGAP5,30,27,-16.211724398428927,57
CEP68,90,82,-16.232773448145664,172
EIF5B,603,651,-16.24808197994932,1254
ATAD3B,123,130,-16.273765594120547,253
TCEANC2,47,49,-16.283085664113358,96
RACGAP1,31,33,-16.29212087392807,64
SERBP1,755,818,-16.38541926476732,1573
PNPLA6,175,188,-16.45925583852552,363
ODF3L2,1,1,-16.6559295654297,2
EMSY,118,111,-16.671022007038502,229
YY1,602,563,-16.69338526582513,1165
SDHAF2,282,259,-16.741758681489443,541
ZNF75A,96,106,-16.910071004735357,202
SPON1,12,11,-16.948014964228094,23
DHX57,90,85,-17.01175096784319,175
MCEE,174,186,-17.034546195136187,360
RAB2B,132,135,-17.052069260386496,267
TRMT5,48,46,-17.07001479128573,94
CNPY2,679,687,-17.251155283580246,1366
PRDM4,91,83,-17.353179580863866,174
TSPAN1,386,368,-17.40839160342432,754
P4HA1,268,275,-17.436789855114007,543
UBL7,194,203,-17.43875927288525,397
GOT1,195,192,-17.451642058616457,387
CCT2,423,407,-17.509706111126633,830
SDHC,611,615,-17.595032565939874,1226
PNMA1,91,97,-17.62529624776637,188
PNKP,227,230,-17.645769198561652,457
EIF2AK3,90,82,-17.70689902194711,172
SNRPF,736,773,-17.806174018511,1509
HTR2A,3,3,-17.820844014485672,6
CTR9,234,237,-17.846187291884362,471
RHOQ,178,166,-17.958526877469794,344
ZNF568,30,30,-17.990557607014978,60
HEXA-AS1,2,2,-18.00403594970703,4
ZNF580,302,324,-18.04231553489027,626
FAAH,135,137,-18.075190347783703,272
DPH5,174,159,-18.181279843991945,333
DNMBP,82,85,-18.19718362043003,167
VPS29,545,575,-18.21673409938812,1120
SHCBP1,5,5,-18.24990386962889,10
ILK,374,348,-18.324961263387152,722
ALG14,130,142,-18.36031072279985,272
DHX38,142,154,-18.361353229832005,296
EFNB2,224,217,-18.388170324485586,441
GGT6,84,82,-18.394582403711524,166
PSMC6,443,403,-18.45064666423392,846
ZMIZ1,123,133,-18.551176726818085,256
BAZ2A,328,307,-18.5579915324534,635
CCDC68,84,76,-18.61308088302613,160
SLC19A2,198,196,-18.61915977594211,394
TNFSF14,86,87,-18.65312238924764,173
ZBTB14,48,49,-18.68461766193822,97
RTN3,503,484,-18.716381992854124,987
DHX33,72,77,-18.724887207850514,149
NBPF26,8,8,-18.814239501953125,16
MGAT2,134,145,-18.840284573134557,279
DGUOK,501,461,-18.856621256489262,962
ZNF468,67,74,-18.9302561333839,141
TMEM160,619,580,-19.00376574569588,1199
UPF3A,385,414,-19.062506025216464,799
GPR108,303,309,-19.196191488527788,612
PLEKHA5,363,368,-19.22005667210277,731
POLR3E,148,142,-19.270975691696684,290
FLVCR1,134,137,-19.278490524010472,271
HS2ST1,121,128,-19.301739581617483,249
BSDC1,303,287,-19.34833787821107,590
DEPDC4,11,11,-19.372427853670985,22
ZNF557,49,51,-19.41069881439209,100
FAM167B,3,3,-19.44751485188803,6
TMEM79,35,32,-19.486188632338795,67
TSNAX,276,249,-19.50483385358538,525
HS3ST3B1,17,16,-19.549641002308235,33
RC3H1,182,190,-19.61242456333612,372
TMEM18,278,297,-19.76384444527004,575
NLRP3,4,4,-19.803446769714355,8
MON2,136,138,-19.89314591623571,274
RCN2,553,601,-19.906873408801843,1154
ATP2A2,539,536,-19.95124394261559,1075
CASP9,54,49,-19.996379518971857,103
SOS1,156,147,-20.004898725956597,303
CAPZA1,464,440,-20.07663172325202,904
PLBD1,90,91,-20.194211591014536,181
TKFC,156,143,-20.24613409138045,299
ADPGK,266,245,-20.269894519664064,511
TOX4,409,421,-20.39973057206855,830
KIN,159,155,-20.40234450322049,314
HENMT1,23,21,-20.478582035411485,44
API5,216,204,-20.520617603120343,420
TMCO1,590,621,-20.67028583050956,1211
SUOX,106,96,-20.69258772972786,202
CROCC,110,121,-20.6968183311033,231
RBMS1,501,519,-20.69853242612353,1020
WARS2,77,78,-20.77060167866369,155
TUBB6,69,64,-20.890576756986448,133
AKAP5,11,10,-20.90980311802456,21
GTF2A2,608,641,-20.975148646138592,1249
FAM138B,1,1,-21.02840423583983,2
SNHG12,231,241,-21.05519410311166,472
ZNF641,58,55,-21.171009435062917,113
SMNDC1,157,152,-21.173981219047867,309
CD1E,3,3,-21.21062342325847,6
ARHGAP35,240,248,-21.22748973721363,488
AP4E1,43,45,-21.259424296292394,88
PCYOX1,354,371,-21.265992631583373,725
RPAP3,108,98,-21.32382376217147,206
DCP1B,52,54,-21.35451406802771,106
JAK1,436,466,-21.42589083584872,902
BLMH,76,74,-21.50534627278647,150
PA2G4,559,585,-21.50681152210369,1144
HCAR1,21,19,-21.651074314117423,40
TPP2,149,163,-21.655251392951374,312
RPL17,661,703,-21.71190943116666,1364
AGO3,242,240,-21.75577845909784,482
RASGRP4,1,1,-21.808067321777344,2
CTNND1,473,508,-21.83148450005674,981
NHLRC3,150,155,-21.87671433745838,305
SERTAD2,256,236,-21.90769463826001,492
ARHGEF11,34,34,-21.936075098374303,68
SLC38A4,2,2,-22.028038024902344,4
ZNF891,29,28,-22.034935532954705,57
PSMA4,589,643,-22.108327583833173,1232
CRK,329,358,-22.17883019815193,687
FBLN5,97,106,-22.20989155886795,203
ING1,210,199,-22.237772831998427,409
HSPA14,127,115,-22.242009880128972,242
SPRY2,217,200,-22.259620483544808,417
MAGI3,333,368,-22.295941982731847,701
GUCA2B,1,1,-22.33036422729492,2
ZNF347,31,33,-22.345917344093323,64
CALCOCO2,297,320,-22.353692962052943,617
IPP,66,63,-22.462808949078703,129
ZNF281,379,381,-22.473946310344505,760
RCAN3,199,212,-22.4931815302865,411
METTL15,214,224,-22.494718020365127,438
ABCD3,331,348,-22.670394425539627,679
GHITM,608,661,-22.68377142651425,1269
CDKN1B,262,249,-22.696031708540048,511
SOCS4,92,86,-22.71878206060174,178
COPS7A,265,249,-22.829783235542507,514
DSTYK,127,117,-22.842071001646943,244
SEC22B,305,285,-22.866879789708022,590
AKAP3,7,7,-22.91142545427596,14
TM2D3,258,273,-22.91174335084618,531
USP34,342,378,-23.13359966807896,720
FCGRT,756,796,-23.30437830797176,1552
DCTN1,216,234,-23.39108844333225,450
TULP3,130,131,-23.46515059197086,261
SYTL1,296,301,-23.51390052041416,597
PLPP3,192,211,-23.57085436686097,403
PIK3C2A,244,246,-23.61145070912886,490
FAM98B,145,148,-23.66433413769198,293
COX10,59,63,-23.738290505331065,122
SYT11,9,9,-23.749831941392685,18
TPGS2,391,360,-23.85717824232404,751
RAB18,405,418,-23.86122671801729,823
ERMAP,42,40,-23.94542005585461,82
CA11,93,100,-23.9744013257595,193
EXPH5,308,334,-23.987399199298608,642
RNMT,294,308,-23.991981265552816,602
PRX,95,100,-24.02059373121996,195
TRMT13,92,93,-24.09144928390916,185
FAM177A1,758,839,-24.099749221754,1597
ARID1A,417,388,-24.118151495323417,805
BAZ1A,518,499,-24.17407668422221,1017
RNPEP,390,373,-24.211080388660363,763
TRIM44,367,375,-24.25240935148254,742
TIAL1,355,365,-24.28717192014058,720
ODF2L,509,463,-24.53188910307708,972
DEXI,225,208,-24.55537046295941,433
EXOC5,166,153,-24.760054645119787,319
TXNL1,474,523,-24.78907617475228,997
B3GLCT,40,42,-24.82097476866187,82
UTP14C,125,126,-24.90502215381639,251
CDAN1,26,26,-24.91646773998553,52
NBPF11,64,62,-24.96646977984716,126
MZT1,184,192,-25.098893713443843,376
SRRM2,789,861,-25.25890816428444,1650
AP1M2,396,392,-25.345953665408985,788
AGBL5,106,103,-25.36164253636412,209
CYP2E1,2,2,-25.385948181152344,4
SLIRP,735,774,-25.389660157139843,1509
WBP4,261,253,-25.467982666965582,514
ADPRM,46,47,-25.488857228268856,93
ACIN1,360,346,-25.500034932036577,706
ZNF518A,167,169,-25.570745990389867,336
RBM45,49,48,-25.624826096996827,97
ZNF10,49,45,-25.629948514573115,94
MTR,128,127,-25.65699687284581,255
SRSF8,400,437,-25.666426336181345,837
HSP90B1,830,898,-25.782900713108205,1728
ARL5C,1,1,-25.800930023193374,2
WIPI1,184,198,-25.901572422207337,382
GNS,327,356,-25.90456225617216,683
TEAD1,228,250,-25.929557058102915,478
OASL,39,36,-25.954957275390623,75
POSTN,2,2,-25.97006225585937,4
CLIP1,384,422,-26.008330891800878,806
MRPS9,169,157,-26.021849801935304,326
DHRS7,523,537,-26.03506793615952,1060
USP33,181,176,-26.05820001340379,357
CHKA,261,288,-26.073442170745917,549
DCAF5,262,266,-26.294438058679745,528
MKS1,66,73,-26.407031024960304,139
MRPL51,795,798,-26.43710869778945,1593
ILVBL,209,201,-26.445833745816856,410
ATL2,219,200,-26.495545089102592,419
TRAC,46,47,-26.5019754389281,93
ZBTB37,60,61,-26.56360323567036,121
ZNF549,4,4,-26.659099578857425,8
GTF2F2,250,267,-26.669118722587317,517
HEXIM1,498,538,-26.66960727662193,1036
OSGEP,192,208,-26.725839557647703,400
PRKCH,109,112,-26.80697566243859,221
RNF103,192,198,-26.81844761188213,390
NEK9,123,126,-26.83171245467711,249
SLC4A5,47,43,-26.850718943278,90
ZNF503,305,311,-26.855991784628344,616
S1PR1,3,3,-26.94530614217122,6
ENO1,897,969,-26.95479342101855,1866
RSRC2,547,603,-26.95644145136294,1150
LINC00115,13,12,-26.96127258300781,25
MAN1A2,269,266,-27.231388797938266,535
NRDE2,176,185,-27.36793739974003,361
POLE4,570,588,-27.416607387325318,1158
KRCC1,349,364,-27.50660092432736,713
EPCAM,890,932,-27.51039468784102,1822
SH3GLB1,463,452,-27.67648990818712,915
WSB2,201,202,-27.713811472095276,403
SFR1,82,85,-27.726573373029325,167
PEX19,190,175,-27.729965147253598,365
JRKL,53,55,-27.759138107299805,108
LOH12CR2,19,21,-27.782332611083987,40
ANAPC5,334,358,-27.84786855554306,692
ARMC6,128,127,-27.93239530675551,255
TXNL4B,66,68,-27.9474145690007,134
BCAS2,342,320,-27.957221212704013,662
C12orf73,123,112,-27.968086210210277,235
GALNT3,336,325,-27.984599461173147,661
RPP38,199,215,-27.988599731150455,414
RB1,144,150,-28.019105158695552,294
IRAK4,74,81,-28.07430287022745,155
