gene,count_cancer,count_normal,delta,count_total
ZMYND15,27,29,39.86115101405554,56
U2AF2,241,226,39.852789721601255,467
ARID4B,528,493,39.23491582020489,1021
KMT5B,262,284,39.1162499088944,546
DDB1,445,422,38.971980428200695,867
CCDC87,1,1,38.91758346557617,2
AP2A2,314,286,38.90077246348064,600
TACSTD2,947,892,38.889752266133456,1839
MRPL34,460,507,38.879629022702815,967
TMEM120B,151,136,38.70103178123979,287
ZNF790-AS1,13,12,38.3740835571289,25
FAM72C,1,1,38.16040420532228,2
CDH1,578,523,38.128092181130384,1101
SNX27,315,299,37.59130321341151,614
LINGO4,2,2,37.28580474853516,4
RBM14-RBM4,2,2,37.25732707977295,4
FASTKD1,57,54,37.101895993894274,111
C15orf61,265,276,36.8778805829681,541
AHCYL1,622,572,36.631644065256296,1194
SPAG9,522,545,36.59732922998229,1067
KCNN1,1,1,36.50713348388672,2
LINC00900,2,2,36.23794364929199,4
HPCAL1,538,597,36.16399079041334,1135
TESK2,19,20,36.15193391457581,39
ACTN4,679,744,35.85163951238444,1423
MIDN,714,679,35.668671514178385,1393
EMC4,571,599,35.25735924549592,1170
PPIE,259,264,35.233643701381936,523
TMEM88,41,38,34.92968701712694,79
CYB561,332,346,34.61091426973147,678
AGBL5-AS1,1,1,34.543386459350586,2
SIGIRR,342,379,34.30492258270307,721
IZUMO4,55,61,34.109170782155005,116
NUTF2,362,356,34.05572353564929,718
PPP1CA,666,690,33.958759521664426,1356
SNRNP70,530,537,33.92876164758998,1067
KRT10,865,859,33.64582094958101,1724
ZNHIT2,128,132,33.591814290560215,260
ALDOA,955,969,33.42732324818316,1924
NEURL4,46,51,33.11135722681419,97
ZNF486,29,31,33.10306701660156,60
GRID1,1,1,32.81852722167969,2
CNGB1,5,5,32.754456329345714,10
SHTN1,184,169,32.744242638433974,353
PUM1,471,454,32.62422695675412,925
KMT5A,172,182,32.37264853008722,354
C2CD3,67,69,32.32755470275879,136
ADORA3,1,1,32.214988708496094,2
RAP2A,74,69,32.085113952209895,143
PLEKHO2,35,38,32.07975873555222,73
ARF3,509,491,31.879943153381348,1000
PLLP,308,338,31.848341460567504,646
MKNK2,550,555,31.793886769842786,1105
SF3B6,822,896,31.72372935675908,1718
RER1,652,626,31.486956165057023,1278
CSPG4,2,2,31.462060928344727,4
SLC25A42,52,50,30.97131639368393,102
SFPQ,729,744,30.784385072561804,1473
UBXN6,455,410,30.75119568709004,865
PITPNA,199,212,30.603757835072614,411
THOC6,183,174,30.450925575918845,357
SPG11,159,171,30.30480994022254,330
SLC7A9,2,2,30.0418643951416,4
TLE6,63,58,29.97227484332629,121
CCDC9,44,41,29.807528551887053,85
PBXIP1,295,308,29.733799746182825,603
ICAM5,70,74,29.724907663133408,144
CCDC57,484,510,29.70704775221151,994
STUB1,639,631,29.523497003269934,1270
CASP7,144,131,29.451182140003556,275
FBXO42,97,97,29.36077062862436,194
SSBP4,298,318,29.332081621343438,616
SNRPE,810,747,29.25878463774518,1557
RAB13,748,711,29.257293390034818,1459
ZC3H4,131,129,29.21270760756272,260
AURKAIP1,829,827,29.210187497346297,1656
C11orf1,428,393,29.18144898408805,821
VPS54,122,115,29.06961935180149,237
MACROD1,317,290,29.002831246943217,607
ELP5,228,216,28.94960092424273,444
TSPAN18,1,1,28.94872665405273,2
SUGP2,211,210,28.92748724423225,421
CCT4,536,512,28.92045762156713,1048
EPB41,172,189,28.74756324324251,361
KCNA2,1,1,28.716583251953125,2
CRLF3,80,80,28.64591581821442,160
BCL2L11,144,133,28.414116566792305,277
DPY30,730,739,28.055887319669985,1469
SAFB,239,217,27.84699212459097,456
SH3BGRL3,830,848,27.836225466449733,1678
RASSF7,612,616,27.817770221722625,1228
TBC1D3L,2,2,27.7668514251709,4
SRSF1,430,446,27.626795433427645,876
ISLR,5,5,27.40802459716797,10
TMEM254,112,123,27.34249494836685,235
TAF5,36,33,27.319470447042704,69
AKR7A2,434,450,27.185238385092617,884
FSD1,1,1,27.121204376220703,2
POLR2E,597,616,27.07365459935879,1213
ROGDI,308,281,27.00002040118233,589
P2RX5,1,1,26.999454498291016,2
TEX261,164,157,26.891963091223417,321
CELF1,557,531,26.884051372023187,1088
ALG1,119,111,26.784693842348844,230
PSMD4,564,521,26.734255527900658,1085
LDHA,908,914,26.71354692879937,1822
TPI1,973,1048,26.684996607278848,2021
MAT2A,404,442,26.607575157291777,846
AACS,130,134,26.45365778605144,264
PTPN18,251,236,26.449629515348263,487
